name,group,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,germany/bundesliga/german-bundesliga,1.29,1.29,1.29,1.29,1.29,1.25,1.22,1.3,1.22,1.33,1.25,,1.29,1.22,1.25,1.3,1.33,1.3,1.33,1.25,1.29,1.34,1.29,
Bor Dortmund,germany/bundesliga/german-bundesliga,4.0,4.33,4.0,4.0,4.0,4.5,4.5,3.75,4.5,3.75,4.33,,4.0,3.75,4.5,3.5,3.75,4.0,4.5,4.0,3.85,4.04,3.94,
Bayer Leverkusen,germany/bundesliga/german-bundesliga,41.0,29.0,26.0,26.0,26.0,29.0,26.0,26.0,34.0,30.0,26.0,,26.0,34.0,34.0,29.0,30.0,31.0,46.0,34.0,31.0,36.0,33.0,
Schalke 04,germany/bundesliga/german-bundesliga,81.0,67.0,67.0,67.0,67.0,67.0,81.0,61.0,67.0,75.0,81.0,,67.0,67.0,51.0,41.0,75.0,81.0,91.0,67.0,46.0,62.0,51.0,
VfL Wolfsburg,germany/bundesliga/german-bundesliga,101.0,101.0,81.0,101.0,81.0,101.0,81.0,81.0,101.0,150.0,101.0,,101.0,151.0,151.0,67.0,150.0,151.0,176.0,126.0,104.0,143.0,125.0,
Werder Bremen,germany/bundesliga/german-bundesliga,301.0,201.0,201.0,126.0,201.0,251.0,201.0,201.0,251.0,300.0,351.0,,201.0,201.0,201.0,151.0,300.0,251.0,351.0,201.0,340.0,475.0,442.0,
Bor Monchengladbach,germany/bundesliga/german-bundesliga,301.0,151.0,151.0,151.0,151.0,201.0,151.0,151.0,251.0,150.0,151.0,,151.0,201.0,151.0,101.0,150.0,201.0,351.0,151.0,340.0,485.0,437.0,
Hamburg,germany/bundesliga/german-bundesliga,301.0,151.0,251.0,301.0,251.0,201.0,201.0,201.0,251.0,200.0,351.0,,201.0,251.0,301.0,151.0,200.0,301.0,351.0,251.0,540.0,760.0,713.0,
VfB Stuttgart,germany/bundesliga/german-bundesliga,201.0,151.0,151.0,201.0,151.0,151.0,151.0,301.0,301.0,500.0,251.0,,251.0,151.0,301.0,151.0,500.0,401.0,501.0,251.0,270.0,380.0,347.0,
Hannover 96,germany/bundesliga/german-bundesliga,301.0,151.0,151.0,251.0,151.0,251.0,251.0,301.0,301.0,150.0,201.0,,251.0,251.0,751.0,101.0,150.0,301.0,801.0,151.0,245.0,342.0,318.0,
Mainz 05,germany/bundesliga/german-bundesliga,501.0,301.0,251.0,251.0,251.0,251.0,301.0,301.0,501.0,200.0,201.0,,501.0,501.0,751.0,101.0,200.0,501.0,801.0,301.0,275.0,390.0,356.0,
Eintracht Frankfurt,germany/bundesliga/german-bundesliga,501.0,501.0,301.0,401.0,301.0,501.0,501.0,301.0,401.0,500.0,251.0,,501.0,501.0,751.0,201.0,500.0,501.0,801.0,501.0,525.0,760.0,698.0,
Hoffenheim,germany/bundesliga/german-bundesliga,751.0,401.0,251.0,351.0,251.0,351.0,251.0,301.0,501.0,300.0,251.0,,251.0,501.0,751.0,151.0,300.0,401.0,801.0,301.0,540.0,760.0,713.0,
