name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Swansea,a,1.67,1.67,,1.67,1.67,,1.53,1.67,1.62,1.55,1.62,1.62,1.62,1.65,,1.6,1.55,1.56,1.67,1.65,,1.48,,
Valencia,a,3.75,4.0,,3.6,3.75,,4.5,3.4,3.5,3.75,5.0,3.75,3.5,3.5,,3.75,3.75,4.5,3.75,4.0,,4.32,,
St Gallen,a,8.0,8.0,,8.0,8.0,,6.0,8.5,7.0,8.0,6.0,7.0,8.0,8.0,,8.0,8.0,7.0,8.0,7.0,,7.27,,
Kuban Krasnodar,a,10.0,9.0,,9.0,9.0,,13.0,11.0,10.0,10.0,8.0,11.0,10.0,10.0,,10.0,10.0,13.0,10.0,11.0,,9.55,,
PSV Eindhoven,b,2.38,2.5,,2.5,2.5,,2.88,2.5,2.25,2.4,2.88,2.75,2.5,2.5,,2.5,2.4,2.5,2.5,2.75,,2.42,,
Chernomorets Odessa,b,2.88,3.5,,3.25,3.5,,3.5,3.75,3.0,3.25,2.75,3.5,3.25,3.5,,3.5,3.25,3.5,3.5,3.0,,3.18,,
Ludogorets,b,5.0,3.4,,3.5,3.5,,2.88,3.1,4.5,4.0,3.3,3.0,3.75,3.25,,3.25,4.0,3.5,3.5,3.75,,3.18,,
Din Zagreb,b,8.0,8.0,,8.0,7.5,,7.0,8.5,,7.5,9.0,8.0,7.0,8.0,,8.0,7.5,8.0,8.0,8.0,,7.65,,
Salzburg,c,1.73,1.67,,1.67,1.67,,1.67,1.67,1.62,1.7,1.8,1.62,1.67,1.67,,1.6,1.7,1.65,1.67,1.75,,1.67,,
Standard Liege,c,3.75,4.33,,4.33,4.33,,4.0,4.5,4.33,3.75,3.75,4.5,4.0,4.0,,4.25,3.75,4.5,3.75,3.75,,3.85,,
Esbjerg fB,c,5.0,4.33,,4.33,5.0,,5.0,4.0,4.33,5.0,4.0,5.0,5.0,5.0,,5.0,5.0,5.0,17.0,5.0,,4.32,,
