name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Valencia,a,1.53,1.44,,1.5,,,,1.53,,1.5,1.57,,,,,1.5,1.5,,,,,,
Swansea,a,2.38,2.62,,2.5,,,,2.38,,2.4,2.25,,,,,2.4,2.4,,,,1.28,,
Ludogorets,b,1.3,1.33,,1.36,,,,1.33,,1.3,1.36,,,,,,1.3,,,,,,
PSV Eindhoven,b,3.4,3.25,,3.0,,,,3.0,,3.2,2.88,,,,,,3.2,,,,,,
Salzburg,c,1.07,1.08,,1.08,,,,1.07,,1.07,1.06,,,,,,1.07,,,,,,
Esbjerg fB,c,8.5,7.5,,7.0,,,,7.0,,7.0,7.5,,,,,,7.0,,,,,,
Rubin Kazan,d,1.01,1.01,,1.01,,,,1.01,,1.01,1.01,,,,,1.02,1.01,,,,,,
Wigan,d,26.0,17.0,,17.0,,,,21.0,,25.0,13.0,,,,,15.0,25.0,,,,,,
Zulte Waregem,d,,,,,,,,,,,1001.0,,,,,,,,,,,,
Maribor,d,,,,,,,,,,,,,,,,,,,,,,,
Fiorentina,e,1.08,1.08,,1.08,,,,1.08,,1.07,1.09,,,,,,1.07,,,,,,
Dnipro,e,8.0,7.5,,7.0,,,,6.5,,7.0,6.0,,,,,,7.0,,,,,,
Eintracht Frankfurt,f,1.22,1.22,,1.22,,,,1.22,,1.2,1.25,,,,,,1.2,,,,,,
Maccabi Tel Aviv,f,4.33,4.0,,3.75,,,,4.0,,4.25,3.75,,,,,,4.25,,,,,,
APOEL Nicosia,f,41.0,34.0,,34.0,,,,41.0,,30.0,23.0,,,,,,30.0,,,,,,
Bordeaux,f,,,,,,,,,,,751.0,,,,,,,,,,,,
Genk,g,1.73,1.8,,1.8,,,,1.8,,1.7,1.85,,,,,,1.7,,,,,,
Dynamo Kiev,g,2.1,2.0,,1.91,,,,1.91,,2.0,1.85,,,,,,2.0,,,,,,
Thun,g,201.0,67.0,,67.0,,,,101.0,,100.0,81.0,,,,,,100.0,,,,,,
Sevilla,h,1.18,1.2,,1.18,,,,1.2,,1.17,1.2,,,,,,1.17,,,,,,
Slovan Liberec,h,5.0,4.5,,4.5,,,,4.5,,5.0,4.5,,,,,,5.0,,,,,,
Freiburg,h,41.0,34.0,,34.0,,,,34.0,,35.0,23.0,,,,,,35.0,,,,,,
Estoril,h,,,,,,,,,,,101.0,,,,,,,,,,,,
Betis,i,1.36,1.33,,1.33,,,,1.3,,1.35,1.29,,,,,,1.35,,,,,,
Lyon,i,3.25,3.5,,3.25,,,,3.3,,3.3,3.6,,,,,,3.3,,,,,,
Guimaraes,i,29.0,21.0,,23.0,,,,26.0,,27.0,19.0,,,,,,27.0,,,,,,
Trabzonspor,j,1.73,1.8,,1.73,,,,1.73,,1.8,1.67,,,,,,1.8,,,,,,
Lazio,j,2.1,1.91,,2.0,,,,2.0,,1.9,2.1,,,,,,1.9,,,,,,
Tottenham,k,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,
Anzhi Makhachkala,k,41.0,26.0,,29.0,,,,34.0,,40.0,21.0,,,,,,40.0,,,,,,
PAOK Saloniki,l,1.8,1.73,,1.8,,,,1.73,,1.8,1.73,,,,,1.72,1.8,,,,,,
AZ Alkmaar,l,2.0,2.0,,1.91,,,,2.0,,1.9,2.0,,,,,2.0,1.9,,,,,,
