name,group,max,min,mean,median
Valencia,a,2.0,1.62,1.7844999999999995,1.75
Swansea,a,3.75,3.0,3.5735000000000001,3.5
Kuban Krasnodar,a,7.0,4.0,5.0634999999999994,5.0
St Gallen,a,17.0,11.0,13.969999999999999,14.199999999999999
PSV Eindhoven,b,1.62,1.36,1.4284999999999997,1.3999999999999999
Din Zagreb,b,6.0,4.33,4.6910526315789474,4.5
Chernomorets Odessa,b,13.0,6.5,9.4550000000000001,9.5
Ludogorets,b,17.0,7.5,10.699999999999999,10.5
Standard Liege,c,2.38,1.65,1.9719999999999995,1.9399999999999999
Salzburg,c,3.0,2.5,2.8459999999999996,2.8799999999999999
Elfsborg,c,10.0,5.5,7.8075000000000001,8.0
Esbjerg fB,c,12.0,5.5,8.1575000000000006,8.0
Rubin Kazan,d,1.73,1.44,1.5835000000000001,1.5750000000000002
Zulte Waregem,d,7.0,4.5,5.8399999999999999,6.0
Wigan,d,8.0,4.5,6.0505000000000004,6.0
Maribor,d,11.0,5.0,7.2075000000000005,7.0
Fiorentina,e,1.73,1.44,1.6080000000000001,1.6200000000000001
Dnipro,e,3.75,2.7,3.4314999999999998,3.5
Pacos Ferreira,e,12.0,6.0,7.5349999999999993,7.0
Pandurii,e,17.0,7.0,14.77,17.0
Eintracht Frankfurt,f,2.55,2.0,2.2730000000000006,2.2749999999999999
Bordeaux,f,2.75,2.25,2.4609999999999999,2.5
APOEL Nicosia,f,9.0,6.0,6.7814999999999994,6.5
Maccabi Tel Aviv,f,12.0,6.0,8.8480000000000008,8.25
Dynamo Kiev,g,1.83,1.4,1.6619999999999997,1.6699999999999999
Genk,g,5.0,3.2,3.8080000000000007,3.7549999999999999
Rapid Vienna,g,6.5,5.0,5.777368421052631,5.5
Thun,g,19.0,5.75,13.1525,13.0
Sevilla,h,1.91,1.6,1.7135000000000005,1.73
Freiburg,h,3.5,2.4,2.9359999999999999,3.0
Estoril,h,15.0,7.0,10.029999999999999,9.5
Slovan Liberec,h,19.0,7.0,11.877500000000001,10.5
Betis,i,2.2,1.91,2.0994999999999999,2.1000000000000001
Lyon,i,2.4,2.1,2.2374999999999998,2.2000000000000002
Guimaraes,i,10.0,6.7,8.2599999999999998,8.25
Rijeka,i,19.0,9.0,13.294999999999998,13.0
Lazio,j,1.67,1.4,1.5345000000000002,1.5
Trabzonspor,j,5.5,3.85,4.3674999999999988,4.3300000000000001
Legia Warsaw,j,8.5,5.5,6.8599999999999994,7.0
Apollon Limassol,j,15.0,8.0,11.195,11.0
Tottenham,k,1.4,1.22,1.2835000000000001,1.25
Anzhi Makhachkala,k,7.0,3.5,5.3519999999999994,5.5
FC Sheriff,k,17.0,9.0,13.119999999999999,13.0
Tromso,k,26.0,9.0,15.365,15.0
AZ Alkmaar,l,1.9,1.62,1.7254999999999998,1.73
PAOK Saloniki,l,4.0,3.0,3.5409999999999995,3.6000000000000001
Maccabi Haifa,l,9.0,5.75,6.9874999999999998,7.0
Shakhter Karagandy,l,11.0,6.5,9.1575000000000006,9.25
