name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,1.3,1.3,1.29,1.3,1.29,1.3,1.25,1.33,1.25,1.33,1.29,,1.29,1.28,1.29,1.3,1.33,1.26,1.25,1.3,1.09,1.33,1.28,
Bor Dortmund,Germany,4.0,3.75,3.75,3.75,3.75,4.0,4.33,3.75,4.0,3.75,4.0,,4.0,3.75,4.0,3.5,3.75,3.7,3.0,3.75,3.25,4.04,3.57,
Bayer Leverkusen,Germany,34.0,29.0,23.0,26.0,23.0,29.0,26.0,26.0,34.0,30.0,26.0,,26.0,26.0,34.0,26.0,30.0,29.0,34.0,29.0,41.0,48.0,45.0,
Schalke 04,Germany,81.0,67.0,51.0,51.0,51.0,67.0,81.0,51.0,67.0,75.0,67.0,,67.0,67.0,67.0,34.0,75.0,71.0,67.0,67.0,56.0,71.0,61.0,
VfL Wolfsburg,Germany,151.0,151.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,150.0,126.0,,126.0,101.0,151.0,101.0,150.0,121.0,101.0,126.0,116.0,152.0,141.0,
VfB Stuttgart,Germany,201.0,201.0,151.0,151.0,151.0,151.0,151.0,201.0,301.0,200.0,251.0,,201.0,201.0,301.0,151.0,200.0,251.0,301.0,251.0,192.0,266.0,242.0,
Werder Bremen,Germany,301.0,201.0,301.0,201.0,301.0,251.0,201.0,251.0,251.0,300.0,501.0,,501.0,351.0,251.0,251.0,300.0,301.0,251.0,301.0,186.0,266.0,238.0,
Bor Monchengladbach,Germany,501.0,201.0,201.0,201.0,201.0,201.0,151.0,201.0,251.0,150.0,201.0,,201.0,251.0,201.0,151.0,150.0,251.0,251.0,251.0,196.0,295.0,252.0,
Hamburg,Germany,301.0,251.0,401.0,351.0,401.0,201.0,201.0,251.0,251.0,200.0,501.0,,501.0,251.0,301.0,201.0,200.0,301.0,251.0,301.0,540.0,760.0,713.0,
Hannover 96,Germany,301.0,251.0,201.0,301.0,201.0,251.0,251.0,401.0,301.0,150.0,251.0,,251.0,251.0,751.0,101.0,150.0,301.0,301.0,301.0,250.0,352.0,323.0,
Eintracht Frankfurt,Germany,501.0,501.0,251.0,501.0,251.0,501.0,501.0,201.0,401.0,300.0,201.0,,501.0,351.0,751.0,151.0,300.0,501.0,401.0,401.0,330.0,475.0,432.0,
Mainz 05,Germany,501.0,301.0,301.0,301.0,301.0,251.0,301.0,301.0,501.0,200.0,251.0,,501.0,351.0,751.0,151.0,200.0,501.0,501.0,401.0,400.0,570.0,532.0,
Hoffenheim,Germany,501.0,401.0,201.0,301.0,201.0,351.0,251.0,201.0,501.0,200.0,251.0,,251.0,351.0,751.0,151.0,200.0,501.0,501.0,401.0,540.0,760.0,713.0,
Freiburg,Germany,501.0,501.0,501.0,501.0,501.0,501.0,501.0,401.0,501.0,1000.0,751.0,,501.0,501.0,751.0,501.0,1000.0,501.0,501.0,601.0,535.0,760.0,708.0,
Hertha Berlin,Germany,751.0,501.0,401.0,501.0,401.0,401.0,251.0,401.0,1001.0,200.0,351.0,,501.0,501.0,1001.0,251.0,200.0,501.0,1001.0,601.0,270.0,380.0,347.0,
Augsburg,Germany,2001.0,2001.0,1001.0,1501.0,1001.0,1001.0,2501.0,401.0,1501.0,300.0,1501.0,,1001.0,1501.0,2501.0,251.0,300.0,1501.0,1501.0,1251.0,540.0,760.0,713.0,
