name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,,,,,1.08,,1.08,1.12,,1.08,,,,1.06,,,,1.08,,,1.09,1.05,
Bor Dortmund,Germany,,,,,8.0,,8.0,6.0,,6.0,,,,8.0,,,,6.0,,6.8,12.4,7.6,
Bayer Leverkusen,Germany,,,,,17.0,,26.0,23.0,,20.0,,,,21.0,,,,20.0,,24.0,34.0,25.0,
Schalke 04,Germany,,,,,101.0,,301.0,81.0,,150.0,,,,151.0,,,,150.0,,96.0,124.0,116.0,
VfL Wolfsburg,Germany,,,,,,,301.0,101.0,,300.0,,,,251.0,,,,300.0,,196.0,295.0,252.0,
Mainz 05,Germany,,,,,,,,326.0,,,,,,,,,,,,82.0,105.0,101.0,
Hamburg,Germany,,,,,,,,326.0,,,,,,,,,,,,156.0,209.0,194.0,
Bor Monchengladbach,Germany,,,,,81.0,,401.0,101.0,,150.0,,,,151.0,,,,150.0,,144.0,190.0,180.0,
Hoffenheim,Germany,,,,,,,,401.0,,,,,,,,,,,,340.0,475.0,451.0,
Augsburg,Germany,,,,,,,,401.0,,,,,,,,,,,,615.0,950.0,907.0,
Braunschweig,Germany,,,,,,,,401.0,,,,,,,,,,,,615.0,950.0,907.0,
Hertha Berlin,Germany,,,,,,,,301.0,,500.0,,,,,,,,500.0,,154.0,219.0,192.0,
Eintracht Frankfurt,Germany,,,,,,,,376.0,,,,,,501.0,,,,,,255.0,371.0,335.0,
Hannover 96,Germany,,,,,,,,501.0,,,,,,,,,,,,280.0,390.0,369.0,
Freiburg,Germany,,,,,,,,501.0,,,,,,,,,,,,610.0,950.0,902.0,
Nurnberg,Germany,,,,,,,,751.0,,,,,,,,,,,,615.0,950.0,907.0,
VfB Stuttgart,Germany,,,,,501.0,,1001.0,251.0,,500.0,,,,501.0,,,,500.0,,365.0,523.0,495.0,
Werder Bremen,Germany,,,,,,,1001.0,301.0,,,,,,501.0,,,,,,455.0,646.0,616.0,
Barcelona,Spain,,,,,,,1.25,1.29,,1.3,,,,1.29,,,,1.3,,,1.41,1.34,
Real Madrid,Spain,,,,,,,5.0,4.5,,4.25,,,,4.33,,,,4.25,,,4.04,3.67,
