name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Bayern Munich,Germany,,,,,,,1.01,1.0,,,,,,1.01,1.01,,,,,1.01,,1.01
Bor Dortmund,Germany,,,,,,,41.0,51.0,,70.0,,,,51.0,51.0,,,70.0,,43.0,62.0,47.0
Bayer Leverkusen,Germany,,,,,,,41.0,51.0,,75.0,,,,51.0,51.0,,,75.0,,45.0,62.0,49.0
Schalke 04,Germany,,,,,,,501.0,501.0,,,,,,501.0,,,,,,152.0,200.0,190.0
Bor Monchengladbach,Germany,,,,,,,501.0,376.0,,,,,,501.0,,,,,,144.0,209.0,180.0
VfL Wolfsburg,Germany,,,,,,,,501.0,,,,,,,,,,,,260.0,380.0,344.0
Hannover 96,Germany,,,,,,,,,,,,,,,,,,,,280.0,399.0,373.0
Hertha Berlin,Germany,,,,,,,,,,,,,,,,,,,,365.0,523.0,495.0
Hoffenheim,Germany,,,,,,,,,,,,,,,,,,,,340.0,760.0,451.0
Augsburg,Germany,,,,,,,,,,,,,,,,,,,,615.0,950.0,907.0
Braunschweig,Germany,,,,,,,,,,,,,,,,,,,,615.0,950.0,907.0
Eintracht Frankfurt,Germany,,,,,,,,,,,,,,,,,,,,605.0,950.0,892.0
Freiburg,Germany,,,,,,,,,,,,,,,,,,,,610.0,950.0,902.0
Mainz 05,Germany,,,,,,,,,,,,,,,,,,,,615.0,950.0,907.0
Nurnberg,Germany,,,,,,,,,,,,,,,,,,,,615.0,950.0,907.0
VfB Stuttgart,Germany,,,,,,,,,,,,,,,,,,,,615.0,950.0,907.0
Werder Bremen,Germany,,,,,,,,,,,,,,,,,,,,615.0,950.0,907.0
Hamburg,Germany,,,,,,,,10001.0,,,,,,,,,,,,615.0,950.0,907.0
Real Madrid,Spain,,2.05,,,,,2.1,2.1,,2.1,,,,2.0,,,,2.1,,1.87,2.08,1.86
Barcelona,Spain,,2.38,,,,,2.2,2.25,,2.25,,,,2.25,,,,2.25,,2.32,2.37,2.32
Atletico Madrid,Spain,,5.5,,,,,6.0,6.5,,6.5,,,,6.0,,,,6.5,,5.8,6.32,5.85
Athl Bilbao,Spain,,,,,,,,,,200.0,,,,,,,,200.0,,565.0,950.0,766.0
Valencia,Spain,,,,,,,,,,250.0,,,,,,,,250.0,,565.0,950.0,766.0
Villarreal,Spain,,,,,,,,,,300.0,,,,,,,,300.0,,365.0,599.0,480.0
Real Sociedad,Spain,,,,,,,,,,400.0,,,,,,,,400.0,,565.0,950.0,766.0
Sevilla,Spain,,,,,,,,,,2000.0,,,,,,,,2000.0,,565.0,950.0,761.0
Almeria,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
Betis,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
Celta Vigo,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
Elche,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
Espanyol,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
Getafe,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
