name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Bwin,Unibet,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.14,1.14,1.14,1.14,1.14,1.12,1.11,1.14,1.14,1.12,1.14,1.17,1.12,1.12,1.14,1.16,,1.15,1.12,1.12,1.12,1.12,1.15,1.16,
bor dortmund,Germany,7.5,7.0,7.0,7.0,7.0,7.0,7.5,6.0,6.5,6.0,7.5,7.5,6.5,7.0,7.0,6.0,,7.5,7.0,6.5,6.0,6.0,8.22,6.63,
schalke 04,Germany,34.0,34.0,21.0,29.0,21.0,26.0,26.0,26.0,26.0,40.0,34.0,41.0,34.0,29.0,34.0,34.0,,36.0,29.0,34.0,40.0,40.0,95.0,85.0,
bayer leverkusen,Germany,34.0,41.0,34.0,41.0,34.0,41.0,41.0,41.0,41.0,45.0,34.0,51.0,41.0,41.0,41.0,34.0,,40.0,41.0,34.0,45.0,45.0,95.0,83.0,
vfl wolfsburg,Germany,51.0,51.0,41.0,51.0,41.0,51.0,34.0,41.0,51.0,50.0,67.0,81.0,51.0,51.0,41.0,81.0,,55.0,51.0,34.0,50.0,50.0,114.0,105.0,
bor monchengladbach,Germany,201.0,151.0,101.0,151.0,101.0,151.0,201.0,151.0,151.0,150.0,151.0,251.0,101.0,151.0,151.0,226.0,,150.0,151.0,67.0,150.0,150.0,190.0,18.9,
hoffenheim,Germany,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,201.0,350.0,251.0,351.0,151.0,251.0,251.0,351.0,,201.0,251.0,151.0,350.0,350.0,190.0,161.0,
vfb stuttgart,Germany,501.0,501.0,101.0,501.0,101.0,501.0,501.0,251.0,251.0,500.0,501.0,501.0,501.0,501.0,501.0,501.0,,301.0,501.0,151.0,500.0,500.0,190.0,180.0,
hamburg,Germany,501.0,501.0,501.0,501.0,501.0,501.0,501.0,251.0,501.0,500.0,501.0,751.0,501.0,501.0,501.0,751.0,,451.0,501.0,251.0,500.0,500.0,190.0,180.0,
mainz 05,Germany,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,750.0,501.0,751.0,501.0,501.0,751.0,751.0,,351.0,501.0,251.0,750.0,750.0,219.0,192.0,
werder bremen,Germany,1001.0,1001.0,751.0,1001.0,751.0,1001.0,1001.0,251.0,501.0,900.0,1001.0,1001.0,1001.0,751.0,1001.0,1001.0,,451.0,751.0,251.0,900.0,900.0,190.0,1.99,
augsburg,Germany,1001.0,501.0,501.0,751.0,501.0,751.0,1001.0,501.0,1001.0,1000.0,501.0,1501.0,1001.0,751.0,1001.0,1501.0,,451.0,751.0,251.0,1000.0,1000.0,190.0,19.4,
eintracht frankfurt,Germany,1501.0,1501.0,751.0,1001.0,751.0,1001.0,1501.0,501.0,1001.0,1000.0,1001.0,1501.0,501.0,501.0,1501.0,1501.0,,451.0,501.0,251.0,1000.0,1000.0,209.0,186.0,
fc koln,Germany,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,501.0,1001.0,1500.0,1001.0,1501.0,1001.0,1001.0,1501.0,1501.0,,701.0,1001.0,251.0,1500.0,1500.0,209.0,186.0,
hannover 96,Germany,1001.0,501.0,501.0,751.0,501.0,751.0,751.0,501.0,1001.0,1000.0,1001.0,1501.0,501.0,751.0,1001.0,1501.0,,451.0,751.0,251.0,1000.0,1000.0,209.0,186.0,
hertha berlin,Germany,1501.0,1001.0,501.0,1001.0,501.0,1001.0,1501.0,501.0,1001.0,1000.0,1001.0,1501.0,501.0,751.0,1501.0,1501.0,,451.0,751.0,251.0,1000.0,1000.0,209.0,186.0,
freiburg,Germany,1501.0,1501.0,1001.0,1001.0,1001.0,1001.0,1501.0,501.0,1501.0,1500.0,1501.0,2001.0,1001.0,1001.0,2001.0,1501.0,,951.0,1001.0,251.0,1500.0,1500.0,190.0,1.99,
paderborn,Germany,2501.0,2001.0,2001.0,2001.0,2001.0,2001.0,2501.0,501.0,2001.0,2500.0,2501.0,3001.0,1001.0,1501.0,2501.0,3001.0,,1001.0,1501.0,751.0,2500.0,2500.0,190.0,1.99,
real madrid,Spain,1.83,1.83,1.91,1.91,1.91,1.8,1.83,1.83,1.73,1.8,1.83,1.91,1.8,1.83,,1.83,1.8,1.85,1.83,1.9,1.8,1.8,1.86,1.83,
barcelona,Spain,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.1,2.25,2.0,2.1,,2.25,2.25,2.04,2.1,2.1,2.2,2.2,2.35,2.3,
atletico madrid,Spain,15.0,11.0,11.0,13.0,11.0,13.0,15.0,15.0,13.0,15.0,15.0,15.0,11.0,15.0,,15.0,15.0,12.0,15.0,13.0,15.0,15.0,14.3,13.6,
seville,Spain,201.0,201.0,201.0,126.0,201.0,201.0,201.0,201.0,101.0,201.0,151.0,251.0,251.0,201.0,,251.0,151.0,200.0,201.0,151.0,201.0,201.0,209.0,190.0,
valencia,Spain,101.0,151.0,151.0,126.0,151.0,151.0,201.0,201.0,151.0,101.0,201.0,251.0,151.0,126.0,,201.0,151.0,150.0,126.0,151.0,101.0,101.0,371.0,315.0,
athletic bilbao,Spain,151.0,151.0,151.0,151.0,151.0,151.0,201.0,126.0,101.0,201.0,201.0,251.0,251.0,151.0,,201.0,151.0,150.0,151.0,151.0,201.0,201.0,950.0,466.0,
real sociedad,Spain,301.0,251.0,251.0,201.0,251.0,251.0,251.0,226.0,201.0,301.0,201.0,301.0,251.0,251.0,,301.0,251.0,250.0,251.0,251.0,301.0,301.0,950.0,558.0,
