name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,,1.04,1.03,1.03,1.03,,1.05,1.04,,,1.03,,1.04,,,1.04,,,,,1.05,,1.05,1.04,
bor dortmund,Germany,,29.0,34.0,34.0,34.0,,17.0,21.0,,,34.0,,26.0,,,19.0,,,,,34.0,,38.0,23.0,
bayer leverkusen,Germany,,29.0,34.0,34.0,34.0,,26.0,34.0,,,26.0,,26.0,,,26.0,,,,,34.0,,44.0,16.0,
vfl wolfsburg,Germany,,67.0,67.0,67.0,67.0,,67.0,67.0,,,51.0,,67.0,,,67.0,,,,,75.0,,105.0,97.0,
schalke 04,Germany,,81.0,67.0,81.0,67.0,,81.0,81.0,,,67.0,,67.0,,,81.0,,,,,75.0,,209.0,155.0,
bor monchengladbach,Germany,,126.0,126.0,101.0,126.0,,126.0,81.0,,,101.0,,81.0,,,126.0,,,,,41.0,,114.0,97.0,
hoffenheim,Germany,,151.0,151.0,126.0,151.0,,126.0,176.0,,,81.0,,126.0,,,151.0,,,,,75.0,,276.0,184.0,
mainz 05,Germany,,501.0,401.0,401.0,401.0,,401.0,501.0,,,301.0,,401.0,,,501.0,,,,,251.0,,504.0,417.0,
eintracht frankfurt,Germany,,,1001.0,501.0,1001.0,,1001.0,251.0,,,1001.0,,1001.0,,,1001.0,,,,,501.0,,162.0,144.0,
vfb stuttgart,Germany,,,1001.0,751.0,1001.0,,1001.0,201.0,,,1001.0,,1001.0,,,1001.0,,,,,501.0,,950.0,844.0,
hannover 96,Germany,,,751.0,751.0,751.0,,501.0,501.0,,,751.0,,1001.0,,,1501.0,,,,,501.0,,143.0,89.0,
fc koln,Germany,,,1001.0,751.0,1001.0,,1001.0,501.0,,,751.0,,1001.0,,,1501.0,,,,,751.0,,950.0,99.0,
hertha berlin,Germany,,,1001.0,751.0,1001.0,,1501.0,501.0,,,1001.0,,1001.0,,,1001.0,,,,,501.0,,950.0,844.0,
augsburg,Germany,,,751.0,501.0,751.0,,2001.0,501.0,,,751.0,,1001.0,,,1001.0,,,,,501.0,,950.0,99.0,
freiburg,Germany,,,1001.0,1001.0,1001.0,,2001.0,501.0,,,1501.0,,1001.0,,,2001.0,,,,,1001.0,,950.0,99.0,
paderborn,Germany,,,1501.0,1001.0,1501.0,,2501.0,501.0,,,751.0,,1001.0,,,2001.0,,,,,1001.0,,504.0,99.0,
hamburg,Germany,,,1001.0,501.0,1001.0,,2501.0,301.0,,,1001.0,,1001.0,,,1001.0,,,,,501.0,,741.0,655.0,
werder bremen,Germany,,,1501.0,1501.0,1501.0,,2001.0,376.0,,,10001.0,,1001.0,,,2501.0,,,,,1001.0,,950.0,844.0,
barcelona,Spain,,1.83,1.83,1.83,1.83,1.83,1.91,1.83,,1.9,,1.83,1.83,,,1.83,1.85,,,1.9,1.9,1.9,1.87,1.83,
real madrid,Spain,,2.1,2.1,2.1,2.1,2.1,2.1,2.1,,2.1,,2.1,2.1,,,2.1,2.1,,,2.1,2.1,2.1,2.2,2.14,
atletico madrid,Spain,,17.0,17.0,17.0,17.0,19.0,15.0,21.0,,23.0,,17.0,17.0,,,17.0,19.0,,,23.0,17.0,23.0,26.0,23.0,
