name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.01,
vfl wolfsburg,Germany,101.0,34.0,,,,29.0,26.0,34.0,34.0,,,,51.0,29.0,,67.0,34.0,,29.0,,,,48.0,47.0,
bor monchengladbach,Germany,,,,,,251.0,201.0,201.0,201.0,,,,,201.0,,,,,201.0,,,,57.0,500.0,
schalke 04,Germany,,,,,,251.0,151.0,201.0,201.0,,,,,251.0,,,,,251.0,,,,57.0,412.0,
bayer leverkusen,Germany,,,,,,251.0,251.0,201.0,501.0,,,,,201.0,,,,,201.0,,,,133.0,500.0,
bor dortmund,Germany,,,,,,501.0,501.0,501.0,,,,,,501.0,,,,,501.0,,,,,,
hannover 96,Germany,,,,,,,501.0,501.0,,,,,,,,,,,,,,,,,
mainz 05,Germany,,,,,,,401.0,501.0,,,,,,,,,,,,,,,,,
hoffenheim,Germany,,,,,,,751.0,501.0,,,,,,,,,,,,,,,,,
eintracht frankfurt,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,,
fc koln,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,,
vfb stuttgart,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,,
hertha berlin,Germany,,,,,,,1501.0,501.0,,,,,,,,,,,,,,,,,
augsburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,52.0,41.0,
freiburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,,,
werder bremen,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,,,
hamburg,Germany,,,,,,,2501.0,501.0,,,,,,,,,,,,,,,,,
paderborn,Germany,,,,,,,2501.0,501.0,,,,,,,,,,,,,,,,,
barcelona,Spain,1.62,1.57,1.57,1.57,1.57,1.57,1.67,1.62,1.57,1.57,1.62,,1.62,1.57,,1.53,1.57,,1.57,1.57,1.65,1.57,1.55,1.59,
real madrid,Spain,2.2,2.38,2.38,2.25,2.38,2.25,2.2,2.25,2.38,2.4,2.2,,2.2,2.35,,2.37,2.38,,2.35,2.4,2.2,2.4,2.41,2.46,
