name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.1,1.11,1.11,1.08,1.11,,1.05,1.07,,1.12,1.11,,1.06,1.1,1.06,1.1,,1.1,1.12,1.12,1.12,1.1,,
bor dortmund,Germany,21.0,15.0,15.0,17.0,15.0,,21.0,21.0,,14.0,15.0,,17.0,15.0,17.0,17.0,,15.0,14.0,19.0,14.0,14.8,,
vfl wolfsburg,Germany,17.0,,17.0,,17.0,,,18.0,,18.0,17.0,,21.0,17.0,17.0,17.0,,17.0,18.0,13.0,18.0,14.8,,
wolfsburg,Germany,,17.0,,17.0,,,21.0,,,,,,,,,,,,,,,,,
bayer leverkusen,Germany,41.0,34.0,34.0,34.0,34.0,,41.0,34.0,,34.0,34.0,,41.0,34.0,41.0,34.0,,34.0,34.0,26.0,34.0,32.0,,
bor monchengladbach,Germany,41.0,34.0,29.0,34.0,29.0,,51.0,41.0,,34.0,34.0,,51.0,29.0,41.0,41.0,,29.0,34.0,26.0,34.0,32.0,,
schalke 04,Germany,51.0,41.0,41.0,41.0,41.0,,51.0,41.0,,41.0,51.0,,51.0,51.0,41.0,41.0,,51.0,41.0,51.0,41.0,32.0,,
eintracht frankfurt,Germany,501.0,501.0,401.0,501.0,401.0,,501.0,501.0,,501.0,401.0,,501.0,501.0,501.0,501.0,,501.0,501.0,501.0,501.0,95.0,,
mainz 05,Germany,501.0,501.0,501.0,501.0,501.0,,501.0,501.0,,401.0,401.0,,501.0,251.0,501.0,501.0,,251.0,401.0,501.0,401.0,95.0,,
augsburg,Germany,751.0,301.0,251.0,501.0,251.0,,751.0,501.0,,301.0,251.0,,501.0,201.0,501.0,751.0,,201.0,301.0,251.0,301.0,95.0,,
hoffenheim,Germany,251.0,251.0,251.0,251.0,251.0,,501.0,251.0,,251.0,201.0,,501.0,151.0,501.0,751.0,,151.0,251.0,151.0,251.0,95.0,,
hannover,Germany,,501.0,,501.0,,,751.0,,,,,,,,,,,,,,,,,
fc koln,Germany,751.0,501.0,501.0,751.0,501.0,,751.0,501.0,,801.0,501.0,,501.0,501.0,751.0,751.0,,501.0,801.0,751.0,801.0,95.0,,
