name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.02,1.02,,,,1.01,1.05,1.03,,,,,,,1.01,,,,,1.02,,1.03,,1.04,,
bor dortmund,Germany,21.0,17.0,,,,13.0,15.0,13.0,,,,,,,15.0,,,,,15.0,,15.0,,18.1,,
bayer leverkusen,Germany,401.0,201.0,,,,151.0,21.0,251.0,,,,,,,151.0,,,,,251.0,,121.0,,105.0,,
wolfsburg,Germany,501.0,251.0,,,,501.0,21.0,251.0,,,,,,,251.0,,,,,151.0,,121.0,,52.0,,
bor monchengladbach,Germany,751.0,,,,,501.0,81.0,251.0,,,,,,,251.0,,,,,251.0,,91.0,,52.0,,
schalke 04,Germany,1001.0,,,,,751.0,51.0,501.0,,,,,,,501.0,,,,,501.0,,121.0,,219.0,,
hertha berlin,Germany,1501.0,,,,,1501.0,751.0,251.0,,,,,,,751.0,,,,,1001.0,,751.0,,52.0,,
hamburg,Germany,3001.0,,,,,,1001.0,501.0,,,,,,,,,,,,3001.0,,1001.0,,52.0,,
mainz 05,Germany,2501.0,,,,,,751.0,501.0,,,,,,,,,,,,3001.0,,751.0,,52.0,,
fc koln,Germany,3501.0,,,,,,501.0,501.0,,,,,,,,,,,,3001.0,,1001.0,,52.0,,
ingolstadt,Germany,4501.0,,,,,,1501.0,501.0,,,,,,,,,,,,3001.0,,1001.0,,90.0,,
augsburg,Germany,4001.0,,,,,,1001.0,501.0,,,,,,,,,,,,5001.0,,1001.0,,52.0,,
eintracht frankfurt,Germany,4501.0,,,,,,751.0,501.0,,,,,,,,,,,,5001.0,,1001.0,,52.0,,
hannover,Germany,4501.0,,,,,,751.0,501.0,,,,,,,,,,,,5001.0,,1001.0,,52.0,,
hoffenheim,Germany,4501.0,,,,,,1001.0,501.0,,,,,,,,,,,,5001.0,,1001.0,,52.0,,
vfb stuttgart,Germany,4501.0,,,,,,1001.0,501.0,,,,,,,,,,,,5001.0,,1001.0,,52.0,,
werder bremen,Germany,4501.0,,,,,,1501.0,501.0,,,,,,,,,,,,5001.0,,1001.0,,52.0,,
darmstadt,Germany,4501.0,,,,,,5001.0,501.0,,,,,,,,,,,,5001.0,,1001.0,,90.0,,
barcelona,Spain,1.22,1.22,,1.22,,1.2,1.22,1.22,1.22,,1.2,1.22,1.22,,1.25,,,,,1.25,,1.22,,1.25,,
real madrid,Spain,6.0,6.0,,6.0,,6.0,5.5,5.5,5.0,,6.5,6.5,5.5,,5.5,,,,,5.5,,6.0,,7.46,,
atletico madrid,Spain,10.0,9.0,,10.0,,10.0,9.0,10.0,10.0,,9.0,9.0,8.0,,10.0,,,,,9.0,,11.0,,10.5,,
celta vigo,Spain,751.0,,,,,501.0,501.0,251.0,401.0,,751.0,501.0,,,251.0,,,,,501.0,,801.0,,143.0,,
seville,Spain,501.0,251.0,,,,401.0,201.0,326.0,501.0,,1001.0,1001.0,,,501.0,,,,,501.0,,551.0,,143.0,,
villarreal,Spain,1001.0,,,,,751.0,501.0,501.0,401.0,,1001.0,1001.0,,,201.0,,,,,501.0,,1201.0,,665.0,,
valencia,Spain,1001.0,,,,,751.0,501.0,501.0,501.0,,2001.0,1001.0,,,1001.0,,,,,751.0,,1201.0,,409.0,,
athletic bilbao,Spain,2001.0,,,,,1001.0,,501.0,,,1001.0,,,,,,,,,1001.0,,2201.0,,143.0,,
deportivo la coruna,Spain,4501.0,,,,,,5001.0,501.0,,,2001.0,,,,,,,,,,,,,143.0,,
eibar,Spain,4501.0,,,,,,5001.0,501.0,,,2001.0,,,,,,,,,,,,,143.0,,
levante,Spain,4501.0,,,,,,2501.0,501.0,,,10001.0,,,,,,,,,,,,,105.0,,
betis,Spain,4501.0,,,,,,5001.0,501.0,,,10001.0,,,,,,,,,,,5501.0,,143.0,,
espanyol,Spain,4501.0,,,,,,1001.0,501.0,,,10001.0,,,,,,,,,,,5501.0,,143.0,,
getafe,Spain,4501.0,,,,,,5001.0,501.0,,,10001.0,,,,,,,,,,,,,143.0,,
gijon,Spain,4501.0,,,,,,5001.0,501.0,,,10001.0,,,,,,,,,,,,,143.0,,
granada,Spain,4501.0,,,,,,5001.0,501.0,,,10001.0,,,,,,,,,,,,,143.0,,
malaga,Spain,4501.0,,,,,,501.0,501.0,,,10001.0,,,,,,,,,,,5501.0,,143.0,,
rayo vallecano,Spain,3001.0,,,,,,2501.0,501.0,,,10001.0,,,,,,,,,,,,,143.0,,
real sociedad,Spain,4001.0,,,,,,1001.0,501.0,,,10001.0,,,,,,,,,,,,,143.0,,
ud las palmas,Spain,4501.0,,,,,,5001.0,501.0,,,10001.0,,,,,,,,,,,,,143.0,,
man city,England,2.2,2.2,2.25,2.15,2.25,2.25,2.2,2.3,2.3,2.3,2.2,2.3,2.25,,2.25,2.3,,,2.3,2.2,2.3,2.2,2.18,2.33,,2.39
arsenal,England,2.63,2.38,2.63,2.5,2.63,2.6,2.75,2.5,2.38,2.7,2.38,2.75,2.75,,2.37,2.63,,,2.7,2.65,2.7,2.55,2.65,2.65,,2.7
leicester,England,13.0,12.0,13.0,13.0,13.0,11.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,,10.0,13.0,,,11.0,13.0,11.0,14.0,14.0,12.4,,12.9
tottenham,England,21.0,21.0,17.0,19.0,17.0,17.0,21.0,21.0,17.0,17.0,21.0,17.0,17.0,,17.0,21.0,,,17.0,19.0,17.0,21.0,21.0,21.0,,20.0
man utd,England,19.0,17.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,13.0,,21.0,21.0,,,17.0,19.0,17.0,21.0,,22.0,,21.0
liverpool,England,26.0,23.0,17.0,21.0,17.0,15.0,19.0,26.0,17.0,17.0,21.0,21.0,17.0,,21.0,21.0,,,17.0,23.0,17.0,26.0,23.0,23.0,,22.0
chelsea,England,67.0,101.0,81.0,81.0,81.0,101.0,101.0,81.0,67.0,81.0,101.0,101.0,81.0,,51.0,81.0,,,81.0,81.0,81.0,71.0,101.0,95.0,,70.0
everton,England,251.0,251.0,251.0,301.0,251.0,501.0,251.0,251.0,501.0,301.0,501.0,501.0,251.0,,501.0,501.0,,,301.0,251.0,301.0,251.0,501.0,323.0,,
crystal palace,England,401.0,201.0,501.0,401.0,501.0,351.0,,1001.0,401.0,201.0,301.0,501.0,251.0,,251.0,401.0,,,201.0,501.0,201.0,501.0,751.0,456.0,,199.0
west ham,England,1501.0,1501.0,751.0,1001.0,751.0,1001.0,,1001.0,1501.0,1501.0,1501.0,1001.0,,,,1001.0,,,1501.0,1001.0,1501.0,1501.0,1001.0,665.0,,199.0
watford,England,1501.0,,2001.0,,2001.0,,,2001.0,1501.0,2001.0,1501.0,1501.0,,,,,,,2001.0,,2001.0,1501.0,1001.0,950.0,,199.0
southampton,England,2501.0,2501.0,1251.0,,1251.0,1001.0,,1001.0,1501.0,2501.0,2001.0,1001.0,,,,,,,2501.0,,2501.0,2001.0,1001.0,950.0,,199.0
bournemouth,England,2501.0,,1251.0,,1251.0,,,4001.0,3501.0,,5001.0,5001.0,,,,,,,,,,2501.0,1001.0,950.0,,199.0
newcastle,England,3501.0,,1501.0,,1501.0,,,4001.0,4001.0,,5001.0,5001.0,,,,,,,,,,3501.0,1001.0,950.0,,199.0
stoke,England,1001.0,,1251.0,,1251.0,1001.0,,3001.0,2501.0,3001.0,5001.0,3001.0,,,,,,,3001.0,,3001.0,801.0,1001.0,950.0,,199.0
swansea,England,3001.0,,2001.0,,2001.0,,,1501.0,3001.0,,5001.0,5001.0,,,,,,,,,,3001.0,1001.0,950.0,,199.0
west brom,England,2501.0,,2501.0,,2501.0,,,3001.0,3501.0,,5001.0,5001.0,,,,,,,,,,2501.0,1001.0,950.0,,199.0
aston villa,England,4751.0,,5001.0,,5001.0,,,4001.0,10001.0,,10001.0,,,,,,,,,,,4001.0,3001.0,950.0,,199.0
norwich,England,4501.0,,2501.0,,2501.0,,,5001.0,4001.0,,10001.0,5001.0,,,,,,,,,,5001.0,1001.0,950.0,,199.0
sunderland,England,4751.0,,5001.0,,5001.0,,,4001.0,10001.0,,10001.0,,,,,,,,,,,5001.0,2001.0,950.0,,199.0
psg,France,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.01,,,,
monaco,France,101.0,67.0,,,,41.0,41.0,126.0,,,,,,,67.0,,,,,,,121.0,,95.0,,
lyon,France,201.0,101.0,,,,67.0,51.0,126.0,,,,,,,101.0,,,,,,,121.0,,95.0,,
marseille,France,301.0,301.0,,,,201.0,251.0,426.0,,,,,,,251.0,,,,,,,421.0,,95.0,,
st etienne,France,301.0,501.0,,,,201.0,501.0,426.0,,,,,51.0,,501.0,,,,,,,451.0,,95.0,,
caen,France,751.0,,,,,501.0,,501.0,,,,,,,,,,,,,,801.0,,95.0,,
angers,France,501.0,,,,,501.0,1001.0,501.0,,,,,,,,,,,,,,551.0,,95.0,,
nice,France,1001.0,,,,,501.0,501.0,501.0,,,,,,,,,,,,,,1001.0,,95.0,,
rennes,France,1001.0,,,,,501.0,1001.0,426.0,,,,,,,,,,,,,,1001.0,,95.0,,
bordeaux,France,1501.0,,,,,1001.0,501.0,501.0,,,,,,,,,,,,,,1551.0,,95.0,,
lille,France,1501.0,,,,,1001.0,501.0,501.0,,,,,,,,,,,,,,1551.0,,95.0,,
lorient,France,1501.0,,,,,751.0,,501.0,,,,,,,,,,,,,,1551.0,,95.0,,
nantes,France,2501.0,,,,,,,501.0,,,,,,,,,,,,,,2551.0,,95.0,,
reims,France,2501.0,,,,,,,751.0,,,,,,,,,,,,,,2551.0,,95.0,,
montpellier,France,3001.0,,,,,,,501.0,,,,,,,,,,,,,,3301.0,,95.0,,
gfco ajaccio,France,4501.0,,,,,,,1001.0,,,,,,,,,,,,,,,,95.0,,
guingamp,France,4001.0,,,,,,,501.0,,,,,,,,,,,,,,4501.0,,95.0,,
