name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,1.25,,,,,,1.22,1.22,,1.38,1.25,1.2,,1.23,,,,1.38,,,1.19,,
Portland Trail Blazers,northwest,5.0,,,,,,4.5,5.0,,3.65,4.6,5.0,,5.0,,,,3.65,,,1.95,,
Denver Nuggets,northwest,15.0,,,,,,17.0,17.0,,12.0,17.0,15.0,,15.0,,,,12.0,,,4.8,,
Minnesota Timberwolves,northwest,21.0,,,,,,26.0,26.0,,35.0,34.0,19.0,,21.0,,,,35.0,,,4.8,,
Utah Jazz,northwest,2001.0,,,,,,501.0,151.0,,1000.0,501.0,501.0,,101.0,,,,1000.0,,,9.55,,
Los Angeles Clippers,pacific,,,,,,,1.4,1.36,,1.45,1.42,1.36,,1.4,,,,1.45,,,1.28,,
Golden State Warriors,pacific,,,,,,,3.1,3.1,,2.7,3.0,3.2,,3.0,,,,2.7,,,1.95,,
Los Angeles Lakers,pacific,,,,,,,23.0,26.0,,40.0,21.0,17.0,,24.0,,,,40.0,,,6.7,,
Phoenix Suns,pacific,,,,,,,51.0,51.0,,40.0,51.0,51.0,,55.0,,,,40.0,,,3.85,,
Sacramento Kings,pacific,,,,,,,201.0,151.0,,300.0,301.0,151.0,,101.0,,,,300.0,,,9.55,,
San Antonio Spurs,southwest,1.4,,,,,,1.4,1.4,,1.35,1.38,1.4,,1.35,,,,1.35,,,1.01,,
Houston Rockets,southwest,3.2,,,,,,3.25,3.2,,3.65,3.4,3.25,,3.3,,,,3.65,,,1.99,,
Dallas Mavericks,southwest,26.0,,,,,,23.0,26.0,,15.0,23.0,23.0,,26.0,,,,15.0,,,7.65,,
Memphis Grizzlies,southwest,34.0,,,,,,26.0,26.0,,25.0,34.0,17.0,,27.0,,,,25.0,,,4.23,,
New Orleans Pelicans,southwest,51.0,,,,,,81.0,67.0,,80.0,67.0,67.0,,51.0,,,,80.0,,,9.55,,
Brooklyn Nets,atlantic,,,,,,,1.8,1.8,,1.68,1.73,1.62,,1.8,,,,1.68,,,1.68,,
New York Knicks,atlantic,,,,,,,3.75,3.75,,3.4,3.75,3.4,,3.5,,,,3.4,,,1.97,,
Toronto Raptors,atlantic,,,,,,,6.0,6.0,,12.0,6.5,6.0,,5.0,,,,12.0,,,2.44,,
Boston Celtics,atlantic,,,,,,,15.0,12.0,,12.0,19.0,17.0,,17.0,,,,12.0,,,4.89,,
Philadelphia 76ers,atlantic,,,,,,,19.0,21.0,,18.0,19.0,21.0,,21.0,,,,18.0,,,2.95,,
Indiana Pacers,central,,,,,,,1.02,1.02,,1.03,1.02,1.02,,1.02,,,,1.03,,,,,
Chicago Bulls,central,,,,,,,13.0,12.0,,13.0,13.0,12.0,,13.0,,,,13.0,,,1.99,,
Detroit Pistons,central,,,,,,,29.0,26.0,,20.0,29.0,29.0,,26.0,,,,20.0,,,7.84,,
Cleveland Cavaliers,central,,,,,,,201.0,91.0,,100.0,126.0,251.0,,101.0,,,,100.0,,,7.84,,
Milwaukee Bucks,central,,,,,,,201.0,151.0,,500.0,301.0,101.0,,101.0,,,,500.0,,,10.0,,
Miami Heat,southeast,1.01,,,,,,1.01,1.01,,1.01,1.01,1.01,,1.01,,,,1.01,,,,,
Atlanta Hawks,southeast,26.0,,,,,,17.0,17.0,,18.0,21.0,17.0,,24.0,,,,18.0,,,6.7,,
Washington Wizards,southeast,26.0,,,,,,19.0,21.0,,20.0,23.0,21.0,,23.0,,,,20.0,,,6.7,,
Charlotte Bobcats,southeast,201.0,,,,,,151.0,151.0,,70.0,126.0,151.0,,101.0,,,,70.0,,,9.55,,
Orlando Magic,southeast,201.0,,,,,,151.0,151.0,,300.0,151.0,151.0,,101.0,,,,300.0,,,9.55,,
