name,division,max,min,mean,median,twentyfive,seventyfive
Oklahoma City Thunder,northwest,1.48,1.05,1.3800000000000001,1.4399999999999999,1.3999999999999999,1.4449999999999998
Portland Trail Blazers,northwest,2.65,1.95,2.4357142857142859,2.5,2.4249999999999998,2.5499999999999998
Denver Nuggets,northwest,51.0,4.8,40.828571428571429,46.0,41.0,51.0
Minnesota Timberwolves,northwest,67.0,4.8,46.68571428571429,51.0,51.0,51.0
Utah Jazz,northwest,2001.0,9.55,919.0916666666667,1001.0,626.0,1001.0
Los Angeles Clippers,pacific,1.56,1.53,1.5375000000000001,1.53,1.53,1.5375000000000001
Golden State Warriors,pacific,2.4,1.53,2.1699999999999999,2.375,2.1600000000000001,2.3849999999999998
Phoenix Suns,pacific,21.0,2.9,16.475000000000001,21.0,16.475000000000001,21.0
Los Angeles Lakers,pacific,101.0,6.7,72.424999999999997,91.0,62.424999999999997,101.0
Sacramento Kings,pacific,751.0,9.55,440.63749999999999,501.0,378.13749999999999,563.5
San Antonio Spurs,southwest,1.2,1.01,1.1683333333333332,1.2,1.2,1.2
Houston Rockets,southwest,4.5,1.99,4.0533333333333337,4.5,4.3725000000000005,4.5
Dallas Mavericks,southwest,34.0,4.04,29.006666666666664,34.0,34.0,34.0
Memphis Grizzlies,southwest,67.0,4.23,52.87166666666667,64.0,53.5,67.0
New Orleans Pelicans,southwest,251.0,9.55,131.59166666666667,113.5,101.0,182.25
Brooklyn Nets,atlantic,2.25,1.69,2.048,2.1000000000000001,2.0,2.2000000000000002
Toronto Raptors,atlantic,2.3,1.28,2.0759999999999996,2.25,2.25,2.2999999999999998
New York Knicks,atlantic,7.5,1.97,5.8639999999999999,6.5,6.3499999999999996,7.0
Boston Celtics,atlantic,17.0,2.95,12.99,15.0,15.0,15.0
Philadelphia 76ers,atlantic,67.0,2.95,54.189999999999998,67.0,67.0,67.0
Indiana Pacers,central,1.0,1.0,1.0,1.0,1.0,1.0
Chicago Bulls,central,19.0,1.97,14.7425,19.0,14.7425,19.0
Detroit Pistons,central,26.0,7.84,20.710000000000001,24.5,19.210000000000001,26.0
Cleveland Cavaliers,central,201.0,7.84,127.70999999999999,151.0,115.20999999999999,163.5
Milwaukee Bucks,central,1001.0,10.0,503.25,501.0,378.25,626.0
Miami Heat,southeast,1.01,1.01,1.01,1.01,1.01,1.01
Atlanta Hawks,southeast,17.0,6.7,14.540000000000001,17.0,15.0,17.0
Washington Wizards,southeast,29.0,6.7,22.34,26.0,24.0,26.0
Charlotte Bobcats,southeast,101.0,9.55,76.710000000000008,91.0,81.0,101.0
Orlando Magic,southeast,301.0,9.55,190.63749999999999,226.0,153.13749999999999,263.5
