name,division,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
New England Patriots,AFC East,1.33,1.33,1.3,1.3,1.3,1.3,1.33,1.25,1.29,1.3,1.29,1.29,1.3,1.28,1.33,1.25,1.3,,1.29,1.3,,1.31,,
Miami Dolphins,AFC East,3.6,3.75,4.0,4.0,4.0,3.8,4.0,4.5,3.75,3.5,4.33,4.0,4.0,4.0,3.5,3.5,3.5,,4.0,4.0,,3.61,,
New York Jets,AFC East,19.0,17.0,17.0,21.0,17.0,17.0,15.0,15.0,17.0,20.0,15.0,21.0,17.0,17.0,21.0,17.0,20.0,,17.0,15.0,,28.0,,
Buffalo Bills,AFC East,34.0,26.0,26.0,26.0,26.0,34.0,21.0,34.0,34.0,40.0,34.0,21.0,21.0,34.0,34.0,17.0,40.0,,34.0,34.0,,38.0,,
Cincinnati Bengals,AFC North,1.72,1.83,1.8,1.73,1.8,1.73,1.8,1.73,1.8,1.6,1.83,1.8,1.8,1.83,,1.8,1.6,,1.8,1.8,,1.72,,
Baltimore Ravens,AFC North,2.7,2.62,2.62,2.62,2.63,2.65,2.45,2.5,2.38,2.75,2.5,2.5,2.5,2.62,,2.4,2.75,,2.5,2.5,,2.63,,
Pittsburgh Steelers,AFC North,13.0,11.0,11.0,13.0,11.0,13.0,13.0,11.0,13.0,12.0,11.0,8.0,13.0,11.0,,10.0,12.0,,12.0,11.0,,13.8,,
Cleveland Browns,AFC North,12.0,11.0,11.0,15.0,11.0,11.0,13.0,13.0,13.0,15.0,15.0,15.0,13.0,11.0,,13.0,15.0,,13.0,13.0,,15.7,,
Houston Texans,AFC South,1.61,1.57,1.57,1.57,1.57,1.5,1.57,1.62,1.53,1.6,1.53,1.53,1.57,1.66,,1.5,1.6,,1.5,1.6,,1.7,,
Indianapolis Colts,AFC South,3.75,3.5,3.75,3.5,3.75,3.6,3.25,3.4,3.6,3.0,3.75,3.75,3.4,3.25,,3.75,3.0,,3.75,3.5,,3.47,,
Tennessee Titans,AFC South,4.75,6.0,5.5,5.5,5.5,6.0,6.0,5.0,5.0,5.5,5.5,6.0,5.5,5.0,,5.5,5.5,,5.5,5.5,,5.66,,
Jacksonville Jaguars,AFC South,251.0,501.0,251.0,201.0,251.0,251.0,201.0,151.0,251.0,500.0,251.0,201.0,251.0,101.0,,101.0,500.0,,251.0,101.0,,171.0,,
Denver Broncos,AFC West,1.2,1.17,1.17,1.17,1.17,1.17,1.14,1.14,1.14,1.15,1.17,1.17,1.15,1.2,1.2,1.15,1.15,,1.14,1.17,,1.21,,
Kansas City Chiefs,AFC West,4.75,5.0,5.0,5.0,5.0,4.5,5.0,5.0,4.8,5.0,5.0,5.0,5.0,5.0,4.75,4.5,5.0,,5.0,5.0,,5.27,,
San Diego Chargers,AFC West,26.0,23.0,26.0,26.0,26.0,29.0,23.0,26.0,26.0,18.0,26.0,23.0,21.0,21.0,23.0,26.0,18.0,,26.0,26.0,,34.0,,
Oakland Raiders,AFC West,201.0,101.0,101.0,151.0,101.0,151.0,151.0,151.0,67.0,70.0,101.0,126.0,151.0,81.0,151.0,151.0,70.0,,151.0,101.0,,152.0,,
Dallas Cowboys,NFC East,2.0,1.91,1.95,1.95,1.95,1.91,1.85,1.91,1.91,1.7,1.91,1.91,1.91,2.0,1.8,2.0,1.7,,1.91,1.9,,1.76,,
Philadelphia Eagles,NFC East,4.0,4.5,4.33,4.33,4.33,4.0,4.33,4.33,4.33,4.75,4.5,4.5,4.0,4.5,4.33,4.5,4.75,,5.0,4.0,,4.14,,
New York Giants,NFC East,5.5,5.5,5.5,5.5,5.5,6.0,5.5,5.0,5.0,5.5,5.5,5.5,6.0,5.5,6.0,5.0,5.5,,5.5,5.0,,6.7,,
Washington Redskins,NFC East,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.0,5.5,7.0,5.5,5.0,5.5,5.0,7.0,4.5,7.0,,5.5,5.0,,6.32,,
Green Bay Packers,NFC North,2.25,2.2,2.2,2.2,2.2,2.15,2.15,2.2,2.1,2.2,2.2,2.2,2.2,2.1,2.2,2.1,2.2,,2.1,2.2,,2.25,,
Chicago Bears,NFC North,2.25,2.38,2.38,2.38,2.38,2.25,2.25,2.25,2.2,2.3,2.38,2.3,2.25,2.3,2.4,2.25,2.3,,2.25,2.25,,2.2,,
Detroit Lions,NFC North,5.0,5.0,5.5,5.0,5.5,5.0,5.5,5.0,5.5,4.75,5.0,5.0,5.5,5.0,5.0,5.0,4.75,,5.0,5.0,,5.37,,
Minnesota Vikings,NFC North,41.0,41.0,34.0,34.0,34.0,51.0,41.0,34.0,41.0,40.0,34.0,34.0,34.0,34.0,41.0,34.0,40.0,,34.0,34.0,,81.0,,
New Orleans Saints,NFC South,1.5,1.5,1.5,1.53,1.5,1.5,1.5,1.53,1.44,1.4,1.5,1.53,1.5,1.53,1.44,1.5,1.4,,1.5,1.5,,1.58,,
Atlanta Falcons,NFC South,3.6,3.75,3.5,3.5,3.5,3.75,3.4,3.6,3.6,4.1,3.75,3.5,3.5,3.5,4.33,3.25,4.1,,3.5,4.0,,3.76,,
Carolina Panthers,NFC South,7.5,8.0,8.0,8.0,8.0,6.5,8.5,7.5,7.5,8.0,8.0,9.0,8.0,7.0,7.5,9.0,8.0,,9.0,7.0,,7.46,,
Tampa Bay Buccaneers,NFC South,29.0,26.0,26.0,26.0,26.0,34.0,29.0,21.0,29.0,35.0,26.0,21.0,21.0,21.0,34.0,17.0,35.0,,26.0,26.0,,28.0,,
Seattle Seahawks,NFC West,1.33,1.33,1.36,1.3,1.36,1.33,1.33,1.3,1.29,1.25,1.36,1.36,1.33,1.33,1.3,1.33,1.25,,1.33,1.33,,1.32,,
San Francisco 49ers,NFC West,3.75,3.5,3.5,3.75,3.5,3.4,3.4,3.6,3.6,4.0,3.5,3.5,3.25,3.5,4.0,3.25,4.0,,3.5,3.5,,4.04,,
St Louis Rams,NFC West,19.0,21.0,21.0,21.0,21.0,19.0,21.0,21.0,21.0,20.0,17.0,21.0,21.0,21.0,15.0,15.0,20.0,,21.0,19.0,,16.7,,
Arizona Cardinals,NFC West,31.0,51.0,41.0,51.0,41.0,67.0,51.0,34.0,34.0,40.0,41.0,41.0,51.0,51.0,29.0,41.0,40.0,,51.0,41.0,,40.0,,
