name,division,max,min,mean,median,twentyfive,seventyfive
New England Patriots,AFC East,1.01,1.0,1.0058823529411764,1.01,1.0,1.01
Miami Dolphins,AFC East,34.0,17.0,25.941176470588236,26.0,21.0,29.0
New York Jets,AFC East,501.0,30.0,140.86666666666667,101.0,101.0,126.0
Cincinnati Bengals,AFC North,1.1,1.05,1.085,1.0800000000000001,1.0800000000000001,1.1000000000000001
Baltimore Ravens,AFC North,7.5,6.0,6.9722222222222223,7.0,7.0,7.0
Pittsburgh Steelers,AFC North,51.0,34.0,43.222222222222221,41.0,40.0,51.0
Cleveland Browns,AFC North,501.0,101.0,377.92307692307691,501.0,251.0,501.0
Indianapolis Colts,AFC South,1.03,1.0,1.0050000000000001,1.0,1.0,1.01
Tennessee Titans,AFC South,51.0,9.0,33.083333333333336,34.0,34.0,36.5
Denver Broncos,AFC West,1.04,1.02,1.0218750000000001,1.02,1.02,1.02
Kansas City Chiefs,AFC West,17.0,10.0,14.625,15.0,15.0,15.0
Dallas Cowboys,NFC East,1.8,1.67,1.7505882352941178,1.75,1.73,1.8
Philadelphia Eagles,NFC East,2.2,2.0,2.0470588235294116,2.0,2.0,2.1000000000000001
New York Giants,NFC East,67.0,21.0,32.235294117647058,30.0,29.0,34.0
Detroit Lions,NFC North,1.25,1.14,1.1847058823529413,1.1799999999999999,1.1699999999999999,1.2
Chicago Bears,NFC North,7.0,6.0,6.1470588235294121,6.0,6.0,6.0
Green Bay Packers,NFC North,15.0,7.0,12.470588235294118,13.0,11.0,13.0
New Orleans Saints,NFC South,1.75,1.57,1.6970588235294117,1.71,1.6699999999999999,1.73
Carolina Panthers,NFC South,2.25,2.0,2.1029411764705883,2.1000000000000001,2.1000000000000001,2.1000000000000001
Seattle Seahawks,NFC West,1.02,1.0,1.0066666666666666,1.01,1.0,1.01
San Francisco 49ers,NFC West,23.0,12.0,19.733333333333334,21.0,19.5,21.0
Arizona Cardinals,NFC West,81.0,81.0,81.0,81.0,81.0,81.0
