name,division,max,min,mean,median,twentyfive,seventyfive
New England Patriots,AFC East,1.33,1.25,1.2882352941176467,1.3,1.27,1.3
Miami Dolphins,AFC East,4.5,3.28,4.2350000000000003,4.3300000000000001,4.1500000000000004,4.3725000000000005
Buffalo Bills,AFC East,17.0,11.9,16.056249999999999,17.0,15.0,17.0
New York Jets,AFC East,21.0,1.95,18.309374999999999,20.0,17.0,21.0
Cincinnati Bengals,AFC North,2.6,2.29,2.4521428571428565,2.5,2.3849999999999998,2.5
Baltimore Ravens,AFC North,2.8,1.95,2.6357142857142861,2.7250000000000001,2.6050000000000004,2.75
Pittsburgh Steelers,AFC North,3.75,2.73,3.6164285714285715,3.75,3.6000000000000001,3.75
Cleveland Browns,AFC North,16.0,11.0,13.635714285714286,13.0,13.0,15.0
Houston Texans,AFC South,1.37,1.25,1.303529411764706,1.3,1.29,1.3
Indianapolis Colts,AFC South,5.0,4.5,4.666666666666667,4.5,4.5,5.0
Tennessee Titans,AFC South,8.5,4.89,7.774375,8.0,8.0,8.0
Jacksonville Jaguars,AFC South,225.0,2.9,140.75882352941176,151.0,101.0,201.0
Denver Broncos,AFC West,1.2,1.14,1.1776470588235293,1.1699999999999999,1.1699999999999999,1.1799999999999999
Kansas City Chiefs,AFC West,6.0,4.51,5.6568750000000003,5.5,5.5,6.0
San Diego Chargers,AFC West,15.0,8.03,12.501875,13.0,11.75,13.0
Oakland Raiders,AFC West,81.0,7.65,58.165624999999999,67.0,51.0,67.0
Dallas Cowboys,NFC East,3.2,2.42,2.8199999999999998,2.7999999999999998,2.75,2.8799999999999999
New York Giants,NFC East,4.0,3.15,3.7329411764705878,3.75,3.75,3.75
Philadelphia Eagles,NFC East,4.0,2.93,3.6341176470588241,3.75,3.6000000000000001,3.75
Washington Redskins,NFC East,5.0,3.75,4.3552941176470581,4.3300000000000001,4.3300000000000001,4.5
Green Bay Packers,NFC North,1.7,1.55,1.6452941176470586,1.6699999999999999,1.6200000000000001,1.6699999999999999
Chicago Bears,NFC North,3.57,2.88,3.069375,3.0,3.0,3.125
Detroit Lions,NFC North,8.5,4.89,7.743125,8.0,8.0,8.0
Minnesota Vikings,NFC North,23.0,12.9,18.618749999999999,19.0,17.0,21.0
New Orleans Saints,NFC South,2.1,1.77,1.9894117647058829,2.0,2.0,2.0
Atlanta Falcons,NFC South,2.5,2.2,2.2876470588235294,2.25,2.25,2.3300000000000001
Carolina Panthers,NFC South,11.0,7.65,10.040625,10.0,10.0,11.0
Tampa Bay Buccaneers,NFC South,13.0,9.0,11.625,11.0,11.0,13.0
Seattle Seahawks,NFC West,1.8,1.67,1.7270588235294118,1.73,1.6699999999999999,1.75
San Francisco 49ers,NFC West,2.4,2.23,2.3324999999999996,2.3799999999999999,2.2874999999999996,2.3799999999999999
St Louis Rams,NFC West,15.0,11.0,12.768750000000001,13.0,12.75,13.0
Arizona Cardinals,NFC West,34.0,15.7,28.158823529411762,29.0,26.0,32.0
