name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,,1.14,,,,,1.08,,,,,1.17,1.1,1.08,,,,,,,,1.15,1.09,
Shakhtar Donetsk,a,,1.73,,,,,1.67,,,,,1.83,1.8,1.7,,,,,,,,1.29,0.05,
Bayer Leverkusen,a,,2.62,,,,,2.75,,,,,2.5,2.62,2.65,,,,,,,,1.95,0.05,
Real Sociedad,a,,3.5,,,,,3.75,,,,,3.25,3.5,3.6,,,,,,,,2.9,0.05,
Real Madrid,b,,1.02,,,,,1.02,,,,,1.03,1.02,1.01,,,,,,,,,0.05,
Juventus,b,,1.17,,,,,1.12,,,,,1.17,1.17,1.14,,,,,,,,1.12,0.05,
Galatasaray,b,,5.5,,,,,6.0,,,,,5.0,6.0,5.5,,,,,,,,5.09,3.57,
FC Copenhagen,b,,13.0,,,,,15.0,,,,,,15.0,15.0,,,,,,,,5.75,0.05,
PSG,c,,1.04,,,,,1.03,,,,,1.08,1.05,1.04,,,,,,,,1.03,0.05,
Benfica,c,,1.17,,,,,1.14,,,,,1.29,1.17,1.16,,,,,,,,1.05,0.05,
Olympiakos,c,,6.5,,,,,7.0,,,,,4.5,8.0,7.0,,,,,,,,2.9,0.05,
Anderlecht,c,,8.0,,,,,8.0,,,,,5.0,7.0,8.0,,,,,,,,3.85,0.05,
Bayern Munich,d,,1.04,,,,,1.02,,,,,1.04,1.02,1.01,,,,,,,,1.02,,
Man City,d,,1.1,,,,,1.05,,,,,1.17,1.08,1.07,,,,,,,,1.09,,
CSKA Moscow,d,,6.5,,,,,8.0,,,,,4.5,8.0,7.5,,,,,,,,3.85,,
Plzen,d,,21.0,,,,,21.0,,,,,17.0,21.0,21.0,,,,,,,,9.55,,
Chelsea,e,1.05,1.05,,1.04,1.07,1.04,1.05,1.04,1.03,1.02,1.03,1.04,1.05,1.05,,1.01,1.02,1.03,,1.03,,1.07,1.02,
Schalke 04,e,1.5,1.4,,1.4,1.4,1.44,1.33,1.4,1.4,1.45,1.53,1.44,1.57,1.36,,1.6,1.45,1.38,,1.4,,1.48,1.43,
Basel,e,3.2,3.25,,3.2,3.4,3.2,3.5,3.5,3.25,2.9,2.88,3.0,2.62,3.0,,2.6,2.9,3.1,,3.0,,2.81,2.75,
Steaua Bucharest,e,5.5,7.0,,8.0,7.0,7.0,8.0,6.5,7.0,4.0,7.0,7.0,6.0,10.0,,6.4,4.0,7.5,,8.5,,6.51,5.66,
Bor Dortmund,f,1.36,1.33,,1.36,1.36,1.4,1.4,1.36,1.36,1.25,1.25,1.3,1.36,1.4,,1.3,1.25,1.32,,1.45,,1.33,1.28,
Arsenal,f,1.67,1.73,,1.73,1.73,1.7,1.67,1.67,1.67,1.45,1.7,1.73,1.8,1.67,,1.7,1.45,1.61,,1.65,,1.71,1.62,
Napoli,f,1.8,2.0,,1.8,1.83,1.8,1.8,2.0,1.83,2.0,1.91,1.91,1.83,1.83,,1.8,2.0,1.85,,1.75,,1.87,1.84,
Marseille,f,4.33,4.33,,4.0,4.33,4.0,4.0,3.5,4.0,3.75,4.8,3.75,3.75,4.0,,4.0,3.75,4.3,,4.0,,4.42,3.94,
Atletico Madrid,g,1.29,1.33,,1.33,1.3,1.28,1.29,1.3,1.29,1.3,1.29,1.29,1.33,1.29,,1.33,1.3,1.27,,1.3,,1.31,,
Porto,g,1.53,1.57,,1.57,1.57,1.57,1.57,1.53,1.53,1.45,1.44,1.5,1.62,1.57,,1.45,1.45,1.5,,1.55,,1.42,,
Zenit St Petersburg,g,1.73,1.73,,1.67,1.73,1.73,1.67,1.83,1.73,1.75,1.8,1.8,1.62,1.73,,1.65,1.75,1.68,,1.7,,1.85,,
Austria Vienna,g,9.0,8.0,,8.0,9.0,8.0,9.0,7.5,9.0,5.0,11.0,8.0,8.0,8.0,,9.0,5.0,9.5,,10.0,,13.8,,
Barcelona,h,1.01,1.02,,1.02,1.02,1.02,,1.02,1.02,1.01,1.02,1.02,1.02,1.02,,1.01,1.01,1.01,,1.01,,1.03,,
AC Milan,h,1.2,1.22,,1.22,1.25,1.25,,1.3,1.22,1.2,1.29,1.3,1.25,1.2,,1.2,1.2,1.18,,1.2,,1.39,,
Ajax,h,5.0,4.5,,4.5,5.0,4.5,,4.5,4.5,4.5,4.5,3.75,4.33,5.0,,4.0,4.5,4.5,,4.5,,3.94,,
Celtic,h,10.0,13.0,,9.0,9.0,10.0,,9.0,10.0,5.5,7.0,9.0,9.0,11.0,,11.0,5.5,11.0,,12.0,,9.55,,
