name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Shakhtar Donetsk,a,,,,,,,,,,,,,,,,,,,,,2.9,,
Juventus,b,,,,,,,,,,,,,,,,,,,,,1.23,,
Galatasaray,b,,,,,,,,,,,,,,,,,,,,,4.23,,
Benfica,c,,,,,,,,,,,,,,,,,,,,,24.0,,
Schalke 04,e,,1.73,,,,1.7,1.67,1.73,1.67,1.6,1.73,1.73,1.73,,,1.7,1.6,1.6,1.67,,1.7,,
Basel,e,,2.0,,,,2.05,2.1,2.0,2.1,2.2,2.0,2.0,2.0,,,2.05,2.2,2.2,2.1,,2.25,,
Arsenal,f,,1.02,,,,1.02,1.02,1.03,1.02,1.03,1.04,1.03,1.03,1.02,,1.03,1.01,1.03,1.02,,1.05,,
Bor Dortmund,f,,1.17,,,,1.15,1.14,1.14,1.17,1.14,1.17,1.17,1.17,1.14,,1.15,1.14,1.14,1.17,,1.19,,
Napoli,f,,4.0,,,,3.75,4.0,3.75,3.75,3.5,3.75,4.0,3.75,3.75,,3.75,4.0,3.5,4.0,,3.85,,
Zenit St Petersburg,g,,1.1,,,,1.1,1.08,1.1,1.1,1.07,1.08,1.1,1.1,1.1,,1.08,1.07,1.07,1.1,,1.11,,
Porto,g,,6.5,,,,6.0,7.0,6.5,6.0,7.0,6.0,6.0,7.0,6.5,,6.5,7.0,7.0,6.5,,7.65,,
AC Milan,h,,1.12,,,,1.12,1.14,1.12,1.14,1.18,1.15,1.12,1.17,1.14,,1.12,1.14,1.18,1.14,,1.2,,
Ajax,h,,5.5,,,,5.0,5.0,5.5,5.0,4.0,5.0,5.5,4.5,5.0,,5.5,5.5,4.0,5.0,,5.37,,
