name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
atletico madrid,a,1.14,1.12,1.14,1.13,1.14,1.14,1.1,1.11,,1.1,1.11,1.17,1.14,1.14,,1.14,1.15,,1.14,1.1,1.12,1.1,1.12,,
juventus,a,1.13,1.12,1.12,1.14,1.13,1.12,1.12,1.2,,1.1,1.17,1.14,1.14,1.11,,1.16,1.15,,1.11,1.1,1.12,1.1,1.19,,
olympiakos,a,3.75,3.75,3.25,3.5,3.25,3.75,3.75,3.5,,3.25,3.75,3.2,3.25,3.25,,3.5,3.25,,3.25,3.25,3.75,3.25,3.85,,
malmo ff,a,17.0,21.0,17.0,17.0,17.0,19.0,21.0,13.0,,14.0,13.0,21.0,21.0,17.0,,17.0,17.0,,17.0,14.0,15.0,14.0,10.0,,
real madrid,b,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,
liverpool,b,1.53,1.5,1.44,1.44,1.44,1.53,1.5,1.5,,1.22,1.5,1.44,1.5,1.57,,1.5,1.5,,1.57,1.22,1.5,1.22,1.66,1.55,
basel,b,2.5,2.5,2.5,2.75,2.5,2.5,2.5,2.75,,2.75,2.8,2.62,2.5,2.35,,2.5,2.5,,2.35,2.75,2.5,2.75,2.54,2.49,
ludogorets razgrad,b,26.0,26.0,19.0,26.0,19.0,26.0,34.0,23.0,,26.0,17.0,34.0,21.0,21.0,,34.0,26.0,,21.0,26.0,26.0,26.0,19.0,17.5,
zenit,c,1.5,1.53,1.5,1.5,1.5,1.5,1.5,1.53,,1.5,1.5,1.53,1.5,1.53,,1.5,1.5,,1.53,1.5,1.5,1.5,1.44,,
bayer leverkusen,c,1.57,1.53,1.57,1.57,1.57,1.57,1.5,1.5,,1.67,1.55,1.57,1.57,1.57,,1.53,1.55,,1.57,1.67,1.55,1.67,1.65,,
monaco,c,1.67,1.67,1.67,1.7,1.67,1.65,1.67,1.73,,1.62,1.62,1.73,1.67,1.62,,1.72,1.7,,1.62,1.62,1.65,1.62,1.59,,
benfica,c,5.5,5.0,4.33,4.5,4.33,5.0,5.0,5.0,,3.5,5.5,4.33,4.0,4.0,,5.0,4.5,,4.0,3.5,4.25,3.5,4.71,,
dortmund,d,1.02,1.02,1.02,1.03,1.03,1.02,1.01,1.01,,1.02,1.01,1.06,1.02,1.03,,1.04,1.04,,1.03,1.02,1.02,1.02,1.02,,
arsenal,d,1.13,1.14,1.14,1.14,1.14,1.14,1.1,1.11,,1.14,1.07,1.17,1.14,1.16,,1.16,1.17,,1.16,1.14,1.1,1.14,1.12,,
galatasaray,d,7.0,6.0,5.5,5.5,5.5,7.0,7.0,8.5,,4.75,8.0,5.0,6.5,5.5,,6.0,5.0,,5.5,4.75,6.0,4.75,8.22,,
anderlecht,d,15.0,13.0,11.0,11.0,11.0,15.0,17.0,17.0,,10.0,17.0,10.0,11.0,10.0,,10.0,8.5,,10.0,10.0,15.0,10.0,13.8,,
bayern munich,e,1.01,1.01,1.01,1.01,1.01,1.01,1.0,1.01,,1.01,1.02,1.01,1.01,1.01,,1.01,1.01,,1.01,1.01,,1.01,1.03,,
man city,e,1.73,1.8,1.91,1.73,1.91,1.75,2.0,1.91,,1.65,1.91,1.67,1.73,1.83,,1.83,1.85,,1.83,1.65,1.9,1.65,1.95,,
roma,e,2.0,1.91,1.91,2.0,1.91,1.9,1.67,1.91,,2.05,1.8,2.0,2.0,1.83,,1.83,1.85,,1.83,2.05,1.9,2.05,1.79,,
cska moscow,e,51.0,41.0,34.0,41.0,34.0,34.0,51.0,51.0,,21.0,26.0,51.0,41.0,41.0,,34.0,34.0,,41.0,21.0,41.0,21.0,38.0,,
barcelona,f,1.03,1.04,1.03,1.03,1.03,1.02,1.01,1.02,,1.03,1.02,1.03,1.03,1.04,,1.05,1.03,,1.04,1.03,1.03,1.03,1.05,,
psg,f,1.05,1.06,1.06,1.07,1.06,1.05,1.04,1.07,,1.06,1.02,1.03,1.05,1.06,,1.06,1.05,,1.06,1.06,1.03,1.06,1.04,,
ajax,f,7.0,6.0,6.0,6.0,6.0,7.0,9.0,8.0,,5.0,9.5,7.5,7.0,6.5,,7.0,7.0,,6.5,5.0,6.5,5.0,6.7,,
apoel nicosia,f,34.0,26.0,26.0,26.0,26.0,26.0,34.0,34.0,,21.0,34.0,21.0,34.0,21.0,,21.0,26.0,,21.0,21.0,23.0,21.0,17.1,,
chelsea,g,1.01,1.01,1.01,1.01,1.01,1.01,1.0,1.01,,1.01,1.01,1.0,1.02,1.01,,1.02,1.01,,1.01,1.01,,1.01,1.01,,
schalke 04,g,1.36,1.36,1.4,1.36,1.4,1.4,1.36,1.4,,1.4,1.4,1.4,1.36,1.36,,1.36,1.35,,1.36,1.4,1.4,1.4,1.39,,
sporting lisbon,g,3.4,3.0,3.0,3.2,3.0,3.0,3.25,3.25,,2.7,3.25,3.25,3.0,3.0,,3.25,3.25,,3.0,2.7,3.25,2.7,1.99,,
maribor,g,17.0,15.0,15.0,15.0,15.0,15.0,17.0,15.0,,16.0,12.0,11.0,17.0,15.0,,17.0,15.0,,15.0,16.0,17.0,16.0,12.4,,
porto,h,1.1,1.1,1.11,1.1,1.11,1.1,1.06,1.12,,1.06,1.12,1.11,1.1,1.1,,1.1,1.12,,1.1,1.06,1.1,1.06,1.08,,
shakhtar donetsk,h,1.67,1.67,1.67,1.67,1.67,1.65,1.67,1.67,,1.6,1.62,1.67,1.67,1.62,,1.66,1.65,,1.62,1.6,1.67,1.6,1.41,,
athletic bilbao,h,2.25,2.25,2.2,2.2,2.2,2.25,2.38,2.4,,1.85,2.5,2.38,2.38,2.2,,2.37,2.25,,2.2,1.85,2.25,1.85,2.04,,
bate borisov,h,7.0,6.0,6.0,7.0,6.0,6.5,6.0,5.0,,8.0,5.0,5.0,5.0,6.5,,6.5,6.0,,6.5,8.0,6.0,8.0,4.99,,
