name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.05,1.06,,,,1.05,1.03,1.02,1.05,1.07,1.04,1.04,1.02,1.05,1.04,1.05,,1.05,1.07,1.02,1.07,,,1.03,,
psg,a,1.14,1.17,,,,1.12,1.17,1.12,1.14,1.15,1.12,1.14,1.2,1.18,1.14,1.18,,1.18,1.15,1.15,1.15,,,1.14,,
shakhtar donetsk,a,4.33,4.5,,,,5.5,4.0,5.0,4.0,3.5,5.0,5.0,3.75,4.0,5.0,4.5,,4.0,3.5,4.75,3.5,,,4.32,,
malmo ff,a,15.0,10.0,,,,12.0,13.0,13.0,21.0,31.0,15.0,13.0,21.0,13.0,13.0,13.0,,13.0,31.0,13.0,31.0,,,4.8,,
man utd,b,1.29,1.25,,,,1.22,1.2,1.1,1.2,1.18,1.22,1.25,1.18,1.25,1.25,1.22,,1.25,1.18,1.18,1.18,,,1.14,,
wolfsburg,b,1.53,1.62,,,,1.42,1.62,1.4,1.53,1.4,1.44,1.44,1.53,1.57,1.5,1.44,,1.57,1.4,1.45,1.4,,,1.62,,
cska moscow,b,2.5,2.75,,,,3.0,2.62,3.0,2.88,2.75,2.62,2.75,2.5,2.75,2.75,2.75,,2.75,2.75,2.65,2.75,,,1.95,,
psv,b,3.5,2.75,,,,4.0,3.0,5.5,3.5,5.0,4.5,4.0,4.5,3.4,3.5,4.5,,3.4,5.0,4.5,5.0,,,3.09,,
atletico madrid,c,1.11,1.11,,,,1.08,1.1,1.11,1.08,1.06,1.07,1.1,1.03,1.11,1.08,1.08,,1.11,1.06,1.07,1.06,,,1.06,,
benfica,c,1.53,1.57,,,,1.5,1.5,1.36,1.53,1.6,1.44,1.53,1.44,1.53,1.53,1.53,,1.53,1.6,1.5,1.6,,,1.38,,
galatasaray,c,2.0,2.1,,,,2.3,2.0,2.3,2.2,2.0,2.38,2.1,2.5,2.2,2.2,2.2,,2.2,2.0,2.15,2.0,,,2.42,,
fc astana,c,15.0,9.0,,,,13.0,13.0,12.0,13.0,16.0,13.0,15.0,26.0,13.0,15.0,13.0,,13.0,16.0,13.0,16.0,,,3.33,,
man city,d,1.29,1.25,,,,1.22,1.25,1.25,1.29,1.25,1.22,1.22,1.22,1.27,1.28,1.29,,1.27,1.25,1.25,1.25,,,1.13,,
juventus,d,1.5,1.57,,,,1.44,1.4,1.36,1.5,1.55,1.44,1.5,1.44,1.53,1.5,1.5,,1.53,1.55,1.5,1.55,,,1.43,,
sevilla,d,2.2,2.2,,,,2.38,2.25,1.91,2.25,2.0,2.4,2.38,2.38,2.2,2.25,2.2,,2.2,2.0,2.2,2.0,,,2.01,,
monchengladbach,d,4.5,4.33,,,,6.0,5.0,8.5,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,4.5,5.0,4.5,5.0,,,2.5,,
barcelona,e,1.04,1.04,,,,1.02,1.02,1.01,1.02,1.01,1.02,1.02,1.01,1.04,1.02,1.03,,1.04,1.01,1.01,1.01,,,1.03,,
roma,e,1.73,1.8,,,,1.95,1.8,1.91,1.91,1.9,1.73,1.91,1.83,1.9,1.9,1.83,,1.9,1.9,1.83,1.9,,,1.72,,
bayer leverkusen,e,2.0,1.8,,,,1.75,1.83,2.0,1.91,1.65,2.0,1.83,1.83,2.0,1.9,1.91,,2.0,1.65,1.83,1.65,,,1.57,,
bate borisov,e,13.0,15.0,,,,17.0,15.0,10.0,13.0,51.0,17.0,17.0,26.0,11.0,13.0,15.0,,11.0,51.0,17.0,51.0,,,3.71,,
bayern munich,f,1.02,1.05,,,,1.03,1.02,1.01,1.03,1.04,1.02,1.04,1.01,1.03,1.02,1.03,,1.03,,1.01,1.04,,,1.04,,
arsenal,f,1.17,1.25,,,,1.14,1.14,1.07,1.14,1.15,1.14,1.17,1.12,1.18,1.2,1.17,,1.18,,1.15,1.15,,,,,
olympiakos,f,5.0,4.0,,,,6.5,5.0,7.0,5.0,3.75,6.0,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,3.75,,,3.85,,
din zagreb,f,13.0,8.5,,,,10.0,13.0,21.0,13.0,16.0,10.0,11.0,13.0,12.0,13.0,13.0,,12.0,,13.0,16.0,,,2.84,,
chelsea,g,1.04,1.04,,,,1.07,1.03,1.01,1.04,1.05,1.05,1.04,1.03,1.05,1.03,1.04,,1.05,1.05,1.04,1.05,,,1.06,,
porto,g,1.25,1.22,,,,1.45,1.2,1.36,1.29,1.2,1.36,1.33,1.36,1.27,1.25,1.29,,1.27,1.2,1.2,1.2,,,1.19,,
dynamo kiev,g,4.0,4.33,,,,2.62,3.75,2.88,3.5,3.0,2.8,3.25,3.25,3.75,4.0,3.75,,3.75,3.0,4.0,3.0,,,2.77,,
maccabi tel aviv,g,10.0,9.0,,,,10.0,13.0,19.0,13.0,51.0,10.0,12.0,11.0,10.0,15.0,10.0,,10.0,51.0,10.0,51.0,,,13.4,,
valencia,h,1.33,1.29,,,,1.3,1.25,1.25,1.25,1.25,1.3,1.25,1.29,1.3,1.33,1.29,,1.3,1.25,1.25,1.25,,,1.35,,
zenit,h,1.62,1.57,,,,1.62,1.53,1.44,1.62,1.65,1.62,1.62,1.57,1.62,1.57,1.57,,1.62,1.65,1.55,1.65,,,1.52,,
lyon,h,1.73,1.8,,,,1.8,1.8,1.91,1.91,1.72,1.95,1.8,1.8,1.73,1.8,1.83,,1.73,1.72,1.85,1.72,,,1.87,,
gent,h,6.0,6.5,,,,6.5,7.0,7.0,6.5,7.5,5.0,7.0,8.0,6.0,6.0,7.0,,6.0,7.5,6.5,7.5,,,5.37,,
