name,group,max,min,mean,median
atletico madrid,a,1.03,1.03,1.03,1.03
juventus,a,1.2,1.14,1.158235294117647,1.1499999999999999
olympiakos,a,5.0,4.23,4.7094117647058829,4.75
liverpool,b,1.67,1.57,1.5989473684210527,1.5800000000000001
basel,b,2.4,2.1,2.2531578947368422,2.25
monaco,c,1.45,1.32,1.3794444444444443,1.3999999999999999
zenit,c,3.0,2.55,2.7422222222222223,2.75
bayern munich,e,1.0,1.0,1.0,1.0
man city,e,2.0,1.83,1.8966666666666667,1.8999999999999999
roma,e,2.2,1.91,2.0333333333333332,2.0
cska moscow,e,21.0,12.0,15.5,15.0
sporting lisbon,g,1.44,1.33,1.3788888888888888,1.3700000000000001
schalke 04,g,3.25,2.62,2.8627777777777776,2.8149999999999999
