name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.57,1.67,1.57,1.62,,1.44,1.5,1.53,1.57,1.55,1.44,1.67,1.62,1.5,1.53,1.55,1.55,1.52,1.57,1.5,,1.58,1.54,
Shakhtar Donetsk,a,4.0,3.5,3.75,3.75,,4.0,3.75,3.75,4.0,4.0,3.8,3.6,3.5,3.75,3.5,3.6,4.0,4.0,3.75,4.0,,3.94,3.09,
Bayer Leverkusen,a,7.5,7.5,7.0,7.0,,9.0,8.0,7.5,8.0,7.5,9.0,7.0,8.0,8.0,8.0,8.0,7.5,8.5,8.0,8.5,,7.65,6.89,
Real Sociedad,a,13.0,12.0,15.0,11.0,,15.0,17.0,15.0,15.0,9.0,17.0,11.0,11.0,15.0,17.0,13.0,9.0,17.0,15.0,15.0,,19.0,8.03,
Real Madrid,b,1.25,1.29,1.25,1.29,,1.22,1.2,1.25,1.25,1.35,1.22,1.3,1.22,1.2,1.2,1.2,1.35,1.21,1.22,1.25,,1.21,1.12,
Juventus,b,4.0,3.75,3.75,3.75,,4.2,4.33,4.0,4.0,3.0,4.0,3.6,4.0,4.0,4.33,4.0,3.0,4.3,4.0,4.0,,4.23,3.8,
Galatasaray,b,29.0,21.0,29.0,17.0,,23.0,34.0,26.0,29.0,15.0,34.0,21.0,26.0,34.0,26.0,29.0,15.0,34.0,26.0,34.0,,29.0,25.0,
FC Copenhagen,b,67.0,67.0,67.0,67.0,,51.0,67.0,56.0,67.0,75.0,81.0,51.0,51.0,67.0,67.0,151.0,75.0,81.0,81.0,67.0,,76.0,65.0,
PSG,c,1.44,1.4,1.4,1.4,,1.4,1.29,1.4,1.4,1.4,1.25,1.44,1.4,1.33,1.36,1.31,1.4,1.31,1.4,1.3,,1.35,1.28,
Benfica,c,2.88,3.0,2.88,3.0,,3.0,3.5,3.0,3.0,3.0,3.5,3.1,2.88,3.1,3.0,3.2,3.0,3.3,3.0,3.25,,3.14,2.95,
Anderlecht,c,41.0,29.0,41.0,26.0,,34.0,67.0,41.0,67.0,25.0,67.0,26.0,29.0,51.0,51.0,51.0,25.0,67.0,41.0,51.0,,48.0,43.0,
Olympiakos,c,41.0,29.0,41.0,29.0,,26.0,51.0,34.0,51.0,25.0,67.0,23.0,34.0,41.0,51.0,34.0,25.0,51.0,41.0,51.0,,48.0,43.0,
Bayern Munich,d,1.5,1.53,1.44,1.44,,1.5,1.44,1.5,1.44,1.45,1.4,1.5,1.5,1.44,1.36,1.4,1.45,1.46,1.44,1.5,,1.43,1.38,
Man City,d,2.63,2.62,2.62,2.7,,2.45,2.62,2.7,2.63,2.65,2.7,2.62,2.5,2.62,2.7,2.7,2.65,2.65,2.63,2.5,,2.95,2.65,
CSKA Moscow,d,26.0,21.0,26.0,26.0,,26.0,26.0,23.0,26.0,25.0,29.0,21.0,21.0,26.0,34.0,29.0,25.0,29.0,26.0,26.0,,27.0,23.0,
Plzen,d,126.0,101.0,151.0,81.0,,126.0,201.0,126.0,151.0,50.0,251.0,101.0,81.0,151.0,201.0,201.0,50.0,201.0,151.0,101.0,,143.0,125.0,
Chelsea,e,1.73,1.73,1.57,1.62,,1.65,1.67,1.73,1.67,1.6,1.8,1.67,1.73,1.62,1.8,1.57,1.6,1.7,1.67,1.7,,1.75,1.61,
Schalke 04,e,3.25,3.0,3.5,3.25,,3.0,3.0,3.0,3.4,3.0,3.3,3.0,3.25,3.0,3.0,3.15,3.0,3.15,3.5,3.25,,3.28,3.04,
Basel,e,5.0,6.0,6.0,6.0,,6.0,6.0,5.5,5.0,5.0,4.0,5.5,6.0,6.5,4.5,6.75,5.0,6.0,5.0,6.0,,5.94,5.37,
