name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Man Utd,a,1.44,1.4,1.4,,,,1.4,1.4,,1.45,1.33,1.36,1.33,,1.4,1.33,1.45,1.4,1.4,,1.38,0.03,
Bayer Leverkusen,a,3.25,3.75,3.5,,,,3.5,3.75,,3.5,4.0,3.4,3.75,,3.25,4.0,3.5,3.25,3.75,,3.14,2.93,
Shakhtar Donetsk,a,11.0,10.0,10.0,,,,11.0,8.0,,8.0,11.0,11.0,10.0,,11.0,11.0,8.0,11.0,11.0,,4.8,0.03,
Real Sociedad,a,,,,,,,,176.0,,,,,,,,,,,,,95.0,,
FC Copenhagen,b,,,,,,,,,,,,501.0,,,,,,,,,95.0,0.03,
Galatasaray,b,,,,,,,,,,,,501.0,,,,,,,,,95.0,0.03,
Real Madrid,b,,,,,,,,,,,,,,,,,,,,,,0.03,
Juventus,b,,,,,,,,,,,,,,,,,,,,,95.0,,
PSG,c,1.02,1.0,1.01,,,,1.0,1.03,,,1.01,1.02,1.0,,1.02,,,,1.01,,,0.03,
Olympiakos,c,10.0,17.0,13.0,,,,17.0,12.0,,,15.0,13.0,,,15.0,,,13.0,17.0,,5.94,0.03,
Benfica,c,201.0,,101.0,,,,201.0,151.0,,,,51.0,26.0,,201.0,,,101.0,,,5.94,0.03,
Anderlecht,c,,,,,,,,,,,,,,,,,,,,,5.94,,
Bayern Munich,d,1.03,1.03,1.03,,,,1.03,1.03,,1.03,1.03,1.04,1.03,,1.03,1.01,1.03,1.03,1.03,,1.05,0.03,
Man City,d,15.0,11.0,11.0,,,,15.0,10.0,,10.0,11.0,10.0,11.0,,13.0,11.0,10.0,11.0,11.0,,6.51,5.85,
Plzen,d,,,,,,,,,,500.0,,,,,,,500.0,,,,,,
Chelsea,e,1.22,1.25,1.2,1.18,,1.18,1.2,1.2,1.2,1.22,1.17,1.22,1.2,,1.2,1.18,1.22,1.2,1.2,,1.26,1.19,
Schalke 04,e,4.33,4.0,4.5,4.5,,4.33,4.33,5.0,4.5,4.25,5.5,4.0,4.33,,5.0,4.6,4.25,4.5,4.5,,4.32,3.86,
Basel,e,26.0,29.0,21.0,23.0,,26.0,34.0,17.0,29.0,20.0,13.0,21.0,26.0,,17.0,21.0,20.0,26.0,26.0,,11.9,9.54,
Steaua Bucharest,e,251.0,501.0,401.0,251.0,,501.0,501.0,501.0,,250.0,401.0,201.0,501.0,,501.0,501.0,250.0,401.0,251.0,,95.0,0.03,
Bor Dortmund,f,1.67,1.62,1.67,1.67,,1.57,1.57,1.73,1.62,1.75,1.75,1.67,1.67,,1.53,1.67,1.75,1.67,1.7,,1.77,1.74,
Arsenal,f,4.0,4.0,3.75,3.75,,3.8,4.0,3.75,4.0,3.5,3.75,3.5,3.75,,4.0,3.6,3.5,3.75,3.75,,3.52,3.33,
Napoli,f,4.33,4.33,4.33,4.0,,4.5,4.5,4.0,4.33,4.5,3.75,4.33,4.0,,4.0,4.33,4.5,4.5,4.0,,3.85,3.57,
Marseille,f,501.0,501.0,251.0,501.0,,501.0,251.0,501.0,,500.0,501.0,251.0,251.0,,501.0,501.0,500.0,501.0,251.0,,95.0,0.03,
Atletico Madrid,g,,,1.02,,,,1.02,,,,,1.05,1.02,,,,,1.03,,,,0.03,
Zenit St Petersburg,g,,,13.0,,,,21.0,,,,,9.0,17.0,,,,,13.0,,,11.4,0.03,
Porto,g,,,21.0,,,,34.0,,,,,17.0,21.0,,,,,21.0,,,11.4,0.03,
Austria Vienna,g,,,751.0,,,,501.0,,,,,501.0,501.0,,,,,501.0,,,11.4,0.03,
Barcelona,h,1.03,1.02,1.03,1.02,,,1.02,1.02,1.02,1.03,1.03,1.03,1.02,,1.04,1.01,1.03,1.02,1.03,,1.02,0.03,
AC Milan,h,10.0,11.0,9.0,11.0,,,13.0,13.0,10.0,10.0,10.0,9.0,11.0,,10.0,10.0,10.0,11.0,10.0,,5.09,0.03,
Ajax,h,501.0,251.0,251.0,201.0,,,201.0,501.0,201.0,150.0,201.0,301.0,251.0,,201.0,251.0,150.0,151.0,251.0,,5.09,0.03,
Celtic,h,201.0,151.0,151.0,151.0,,,151.0,226.0,501.0,75.0,126.0,81.0,201.0,,101.0,251.0,75.0,251.0,151.0,,18.6,14.1,
