name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
atletico madrid,a,1.8,1.91,1.8,1.91,1.8,1.9,1.91,1.83,1.91,2.0,1.8,1.83,1.62,1.83,1.73,1.83,1.9,1.9,1.83,2.0,1.95,2.0,1.85,,
juventus,a,2.25,2.1,2.25,2.2,2.25,2.2,2.25,2.3,2.2,2.25,2.2,2.5,2.5,2.25,2.4,2.37,2.2,2.1,2.25,2.25,2.05,2.25,2.33,,
olympiakos,a,13.0,10.0,11.0,9.0,11.0,10.0,9.0,12.0,11.0,9.0,13.0,10.0,13.0,11.0,13.0,10.0,12.0,12.0,11.0,9.0,12.0,9.0,10.0,,
malmo ff,a,81.0,67.0,41.0,51.0,41.0,51.0,51.0,71.0,51.0,30.0,81.0,51.0,51.0,51.0,81.0,51.0,51.0,66.0,51.0,30.0,51.0,30.0,52.0,,
real madrid,b,1.25,1.29,1.29,1.29,1.29,1.3,1.25,1.29,1.29,1.22,1.2,1.29,1.25,1.25,1.2,1.25,1.25,1.25,1.25,1.22,1.25,1.22,1.27,1.21,
liverpool,b,4.5,3.75,4.0,3.75,4.0,3.75,4.0,4.33,3.75,4.4,4.33,4.0,4.0,4.0,4.5,4.5,4.3,4.25,4.0,4.4,4.3,4.4,4.8,4.01,
basel,b,17.0,26.0,17.0,21.0,17.0,21.0,21.0,26.0,26.0,13.0,29.0,19.0,17.0,23.0,29.0,26.0,26.0,20.0,23.0,13.0,19.0,13.0,23.0,16.0,
ludogorets razgrad,b,67.0,81.0,51.0,51.0,51.0,51.0,101.0,126.0,67.0,30.0,101.0,151.0,101.0,67.0,101.0,101.0,67.0,75.0,67.0,30.0,51.0,30.0,124.0,,
bayer leverkusen,c,2.75,2.75,2.75,2.88,2.75,2.62,2.75,2.75,2.75,2.75,2.38,2.88,2.75,2.9,2.62,2.75,2.75,3.0,2.9,2.75,2.85,2.75,2.75,2.59,
benfica,c,3.5,3.6,3.75,3.6,3.75,3.8,3.75,3.3,3.75,3.75,4.0,3.75,3.5,3.6,3.5,3.75,3.6,3.65,3.6,3.75,3.65,3.75,3.57,3.42,
