name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.5,1.5,1.4,1.44,1.4,1.5,1.4,1.4,1.4,1.5,1.5,1.44,1.4,1.44,1.5,1.44,,1.44,1.5,1.45,1.5,,,,1.39,
psg,a,2.38,2.38,2.75,2.62,2.75,2.5,2.75,2.88,2.88,2.4,2.5,2.62,2.75,2.62,2.62,2.5,,2.62,2.4,2.55,2.4,,,,2.42,
malmo ff,a,501.0,201.0,501.0,301.0,501.0,401.0,501.0,501.0,251.0,501.0,501.0,201.0,67.0,151.0,501.0,251.0,,151.0,501.0,201.0,501.0,,,,97.0,
shakhtar donetsk,a,1001.0,,1001.0,501.0,1001.0,1001.0,,501.0,751.0,1001.0,1001.0,1001.0,501.0,501.0,251.0,501.0,,501.0,1001.0,501.0,1001.0,,,,97.0,
man utd,b,2.2,2.2,2.2,2.2,2.2,2.15,2.2,2.1,2.1,2.2,2.25,2.25,2.2,2.2,2.2,2.2,,2.2,2.2,2.2,2.2,,,,1.99,
wolfsburg,b,2.38,2.38,2.25,2.38,2.25,2.38,2.2,2.3,2.38,2.35,2.15,2.3,2.5,2.38,2.37,2.38,,2.38,2.35,2.35,2.35,,,,2.3,
cska moscow,b,6.5,8.0,7.0,6.0,7.0,6.0,7.0,8.5,7.0,6.5,8.0,7.0,5.5,6.0,6.0,6.5,,6.0,6.5,6.0,6.5,,,,5.27,
psv,b,17.0,13.0,15.0,15.0,15.0,15.0,15.0,17.0,15.0,18.0,15.0,17.0,13.0,15.0,17.0,17.0,,15.0,18.0,15.0,18.0,,,,13.6,
atletico madrid,c,1.83,1.83,,1.8,1.73,1.75,1.8,1.91,1.73,1.8,1.8,1.73,1.67,1.67,1.72,1.73,,1.67,1.8,1.7,1.8,,,,,
benfica,c,2.0,2.0,,2.0,2.2,2.0,2.0,1.91,2.25,2.05,2.05,2.25,2.25,2.0,2.25,2.0,,2.0,2.05,2.1,2.05,,,,,
galatasaray,c,19.0,19.0,,17.0,17.0,19.0,17.0,23.0,17.0,18.0,23.0,17.0,10.0,17.0,11.0,26.0,,17.0,18.0,19.0,18.0,,,,8.95,
fc astana,c,2501.0,,,1001.0,1001.0,2001.0,2501.0,501.0,251.0,2001.0,1001.0,1001.0,2001.0,2001.0,1001.0,1001.0,,2001.0,2001.0,2001.0,2001.0,,,,47.0,
juventus,d,1.73,1.73,1.73,1.73,1.73,1.67,1.67,1.83,1.73,1.72,1.8,1.67,1.73,1.73,1.66,1.73,,1.73,1.72,1.75,1.72,,,,,
man city,d,2.2,2.38,2.2,2.2,2.2,2.2,2.25,2.1,2.2,2.2,2.25,2.38,2.1,2.15,2.25,2.2,,2.15,2.2,2.15,2.2,,,,,
sevilla,d,21.0,13.0,17.0,17.0,17.0,17.0,17.0,15.0,17.0,21.0,13.0,17.0,17.0,17.0,21.0,17.0,,17.0,21.0,17.0,21.0,,,,,
