name,group,max,min,mean,median
Man Utd,a,1.84,1.5,1.6868181818181822,1.6699999999999999
Shakhtar Donetsk,a,6.0,4.42,5.3540909090909095,5.5
Bayer Leverkusen,a,7.0,4.42,5.7359090909090904,6.0
Real Sociedad,a,8.0,4.89,6.671818181818181,6.9450000000000003
Real Madrid,b,1.57,1.4,1.4786363636363633,1.49
Juventus,b,3.5,2.5,2.9136363636363636,2.8799999999999999
Galatasaray,b,17.0,9.0,13.702272727272726,14.0
FC Copenhagen,b,101.0,26.0,63.523809523809526,51.0
PSG,c,1.65,1.44,1.543809523809524,1.53
Benfica,c,3.25,2.75,2.9876190476190478,3.0
Olympiakos,c,20.0,7.27,13.989047619047618,13.0
Anderlecht,c,26.0,7.84,19.587619047619047,21.0
Bayern Munich,d,1.6,1.38,1.5086363636363638,1.5
Man City,d,3.2,2.62,2.8690909090909091,2.8799999999999999
CSKA Moscow,d,21.0,11.0,14.736363636363636,13.0
Plzen,d,101.0,15.0,52.136363636363633,46.0
Chelsea,e,1.33,1.17,1.25,1.25
Schalke 04,e,6.0,4.5,5.0113636363636367,5.0
Basel,e,17.0,9.36,13.216363636363637,13.0
Steaua Bucharest,e,51.0,17.0,31.772727272727273,34.0
Bor Dortmund,f,2.5,1.36,2.2013636363636366,2.25
Arsenal,f,3.4,1.73,3.061363636363637,3.2400000000000002
Napoli,f,4.33,1.8,3.6859090909090906,3.75
Marseille,f,17.0,4.0,11.702727272727271,11.449999999999999
Atletico Madrid,g,2.38,1.38,2.0886363636363643,2.1000000000000001
Porto,g,3.0,1.38,2.726818181818182,2.75
Zenit St Petersburg,g,4.5,1.59,3.9540909090909087,4.0
Austria Vienna,g,51.0,4.8,29.990909090909089,29.5
Barcelona,h,1.29,1.08,1.2254545454545451,1.22
AC Milan,h,5.5,4.0,4.8395454545454548,5.0
Ajax,h,26.0,10.0,17.08636363636364,17.0
Celtic,h,67.0,26.0,44.18181818181818,41.0
