name,group,max,min,mean,median,twentyfive,seventyfive
Man Utd,a,1.67,1.5,1.5763157894736843,1.5700000000000001,1.5449999999999999,1.6000000000000001
Shakhtar Donetsk,a,4.0,3.04,3.7794736842105263,3.75,3.75,4.0
Bayer Leverkusen,a,6.0,4.32,5.6115789473684217,6.0,5.25,6.0
Real Sociedad,a,67.0,23.0,38.421052631578945,34.0,34.0,40.0
Real Madrid,b,1.1,1.0,1.0705263157894738,1.0800000000000001,1.0649999999999999,1.0800000000000001
Juventus,b,11.0,1.0,7.3473684210526313,7.0,7.0,8.0
Galatasaray,b,34.0,21.0,29.842105263157894,30.0,26.0,34.0
FC Copenhagen,b,301.0,1.0,220.52631578947367,251.0,151.0,275.5
PSG,c,1.18,1.06,1.1205263157894734,1.1299999999999999,1.1000000000000001,1.1349999999999998
Benfica,c,7.5,5.46,6.3894736842105262,6.0,6.0,6.75
Olympiakos,c,29.0,13.8,22.199999999999999,21.0,19.5,26.0
Anderlecht,c,251.0,67.0,175.68421052631578,167.0,151.0,201.0
Bayern Munich,d,1.12,1.05,1.0889473684210529,1.0800000000000001,1.0800000000000001,1.105
Man City,d,10.0,1.0,7.2631578947368425,7.5,7.0,8.0
CSKA Moscow,d,29.0,15.0,21.900000000000002,23.0,18.550000000000001,25.0
Plzen,d,751.0,201.0,383.42105263157896,380.0,251.0,501.0
Chelsea,e,1.73,1.08,1.5947368421052637,1.6200000000000001,1.6000000000000001,1.645
Schalke 04,e,2.75,1.13,2.338421052631579,2.3999999999999999,2.2999999999999998,2.46
Basel,e,21.0,4.0,15.752631578947369,17.0,13.0,19.5
Steaua Bucharest,e,251.0,34.0,189.84210526315789,201.0,151.0,251.0
Arsenal,f,1.85,1.2,1.7,1.73,1.6699999999999999,1.75
Bor Dortmund,f,2.88,1.36,2.6610526315789467,2.75,2.6499999999999999,2.7749999999999999
Napoli,f,7.0,2.2,6.2710526315789474,6.5,6.0,7.0
Marseille,f,126.0,15.0,93.84210526315789,101.0,90.5,101.0
Atletico Madrid,g,1.2,1.08,1.1494736842105262,1.1499999999999999,1.1399999999999999,1.1699999999999999
Porto,g,7.0,4.51,5.8357894736842111,6.0,5.5,6.0
Zenit St Petersburg,g,17.0,12.4,14.878947368421052,15.0,14.5,15.0
Austria Vienna,g,301.0,29.0,187.89473684210526,201.0,150.0,251.0
Barcelona,h,1.05,1.0,1.0342105263157897,1.03,1.03,1.04
AC Milan,h,10.0,7.5,9.1447368421052637,9.0,9.0,10.0
Ajax,h,151.0,34.0,95.315789473684205,101.0,78.0,101.0
Celtic,h,501.0,124.0,249.05263157894737,251.0,201.0,251.0
