name,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Brazil,a,1.25,1.22,1.25,1.25,1.25,1.18,1.2,1.22,1.22,1.25,1.15,1.2,1.25,1.2,1.17,1.25,1.2,1.25,1.22,1.18,1.28,1.18,
Mexico,a,9.0,9.0,8.5,7.5,8.5,9.0,7.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,8.5,9.0,9.0,9.0,4.9,8.79,6.43,
Croatia,a,7.0,10.0,8.0,7.5,8.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,6.5,9.0,10.5,8.5,8.0,9.0,10.0,4.9,8.79,6.43,
Cameroon,a,26.0,21.0,26.0,26.0,26.0,29.0,34.0,21.0,26.0,15.0,29.0,26.0,26.0,26.0,34.0,17.0,29.0,15.0,19.0,18.0,25.0,18.9,
Spain,b,1.73,1.67,1.8,1.62,1.8,1.7,1.8,1.83,1.73,1.75,1.7,1.67,1.73,1.75,1.8,1.8,1.7,1.75,1.8,1.55,1.76,1.68,
Netherlands,b,3.5,3.75,3.2,4.0,3.2,3.1,3.25,3.1,3.2,3.35,3.4,3.25,3.0,3.25,3.5,3.5,3.4,3.35,3.25,2.79,3.28,2.92,
Chile,b,5.0,6.0,5.5,5.0,5.5,5.5,5.0,6.0,6.0,5.2,5.5,5.5,5.5,5.0,4.75,4.5,4.75,5.2,5.0,5.1,5.66,5.27,
Australia,b,34.0,26.0,34.0,26.0,34.0,81.0,26.0,34.0,51.0,50.0,34.0,67.0,67.0,34.0,34.0,26.0,101.0,50.0,26.0,23.0,34.0,24.0,
Colombia,c,1.62,1.83,1.73,1.67,1.73,1.6,1.62,1.73,1.57,1.67,1.73,1.67,1.67,1.62,1.67,1.7,1.65,1.67,1.62,,1.63,1.53,
Ivory Coast,c,5.0,4.5,5.0,4.5,5.0,4.8,5.0,5.0,5.0,5.5,4.33,5.5,5.5,5.0,5.5,4.5,5.0,5.5,5.0,5.0,5.56,5.17,
Japan,c,6.0,5.0,6.0,5.5,6.0,6.5,6.0,6.0,5.5,6.0,6.0,5.0,5.5,6.0,4.75,6.0,5.0,6.0,6.0,3.55,5.27,4.4,
Greece,c,9.5,9.0,7.5,10.0,7.5,8.5,9.0,7.0,9.0,7.5,7.0,8.0,7.0,8.5,7.5,8.0,10.5,7.5,9.0,6.2,9.55,7.79,
Italy,d,2.63,2.5,2.62,2.62,2.63,2.6,2.75,2.75,2.75,2.5,2.4,2.62,2.38,2.6,2.6,2.5,2.5,2.5,2.25,,2.65,2.59,
Uruguay,d,2.63,3.0,2.88,2.62,2.88,2.65,2.62,2.88,2.62,2.85,2.8,2.75,2.75,2.75,2.6,2.8,2.55,2.85,3.1,2.57,2.75,2.7,
England,d,3.25,3.25,3.0,3.2,3.0,3.1,3.0,3.1,3.25,3.1,3.3,3.0,3.25,3.0,3.4,3.25,3.4,3.1,3.5,3.35,3.33,3.38,
Costa Rica,d,51.0,26.0,51.0,34.0,51.0,67.0,51.0,34.0,15.0,35.0,26.0,34.0,67.0,51.0,34.0,34.0,67.0,35.0,26.0,34.0,42.0,38.0,
France,e,1.67,1.91,1.8,1.75,1.8,1.65,1.8,1.83,1.67,1.8,1.67,1.73,1.8,1.72,1.73,1.65,1.65,1.8,1.67,,1.68,1.62,
Switzerland,e,3.75,3.8,3.6,3.75,3.6,3.75,3.75,3.5,3.6,3.75,3.75,3.25,3.25,3.75,3.5,3.75,3.75,3.75,3.75,3.75,4.14,3.81,
Ecuador,e,5.0,4.5,5.0,4.2,5.0,5.0,4.5,5.0,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,5.0,4.5,5.5,,4.99,4.3,
