name,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Brazil,a,1.05,1.04,,1.05,1.03,1.01,1.04,1.04,1.02,1.04,1.02,1.02,1.02,1.02,,1.03,1.02,1.04,1.03,,1.06,,
Croatia,a,1.83,2.25,,1.91,2.0,1.91,2.25,2.1,2.1,2.0,2.25,2.1,1.83,2.1,,2.0,2.1,2.0,2.2,1.92,2.01,1.98,
Mexico,a,2.25,2.1,,1.91,2.1,1.91,1.83,2.1,2.1,2.0,2.1,2.2,2.1,1.95,,2.0,2.2,2.0,2.0,,2.06,1.96,
Cameroon,a,6.5,4.5,,6.0,6.0,6.0,7.0,5.5,5.5,5.0,4.5,5.0,6.0,6.0,,5.5,4.75,5.0,6.0,3.7,4.61,4.2,
Spain,b,1.22,1.14,,1.17,1.14,1.08,1.14,1.17,1.13,1.1,1.17,1.12,1.17,1.14,,1.12,1.15,1.1,1.22,1.03,1.24,1.16,
Netherlands,b,1.53,1.62,,1.53,1.53,1.33,1.44,1.44,1.5,1.5,1.53,1.5,1.4,1.5,,1.55,1.5,1.5,1.53,,1.54,1.36,
Chile,b,2.0,2.1,,2.0,2.1,2.1,2.2,2.3,2.1,2.05,2.1,2.1,2.2,2.05,,1.95,1.9,2.05,2.0,1.91,1.76,1.9,
Australia,b,8.0,7.0,,6.5,9.0,21.0,10.0,8.5,9.0,10.0,8.5,11.0,10.0,9.0,,10.0,18.0,10.0,8.0,6.8,9.55,8.37,
Colombia,c,1.25,1.3,,1.25,1.25,1.18,1.25,1.25,1.22,1.18,1.25,1.25,1.22,1.2,,1.25,1.2,1.18,1.25,1.12,1.19,1.14,
Ivory Coast,c,1.91,1.91,,1.8,1.91,1.9,1.8,2.0,2.0,2.0,1.9,2.1,2.0,1.9,,1.85,2.0,2.0,1.91,1.88,1.92,1.87,
Japan,c,2.1,2.0,,2.0,2.2,2.25,2.2,2.25,2.1,2.2,2.4,1.91,2.25,2.2,,2.25,2.0,2.2,2.1,,2.01,1.86,
Greece,c,3.4,3.0,,3.4,3.0,3.5,3.25,2.75,3.4,2.75,2.75,3.1,2.88,3.0,,2.75,3.5,2.75,3.5,3.4,3.57,3.42,
Italy,d,1.44,1.4,,1.36,1.5,1.33,1.5,1.44,1.53,1.35,1.4,1.44,1.33,1.36,,1.4,1.4,1.35,1.4,,1.44,1.39,
Uruguay,d,1.4,1.57,,1.36,1.5,1.36,1.44,1.5,1.4,1.5,1.5,1.5,1.44,1.45,,1.5,1.42,1.5,1.5,,1.53,1.45,
England,d,1.67,1.62,,1.62,1.62,1.57,1.67,1.57,1.57,1.62,1.67,1.53,1.67,1.62,,1.6,1.6,1.62,1.67,1.71,1.74,1.71,
Costa Rica,d,11.0,6.5,,11.0,6.0,12.0,7.0,11.0,10.0,6.0,7.5,9.0,13.0,12.0,,8.0,13.0,6.0,9.0,4.8,6.13,6.24,
France,e,1.2,1.22,,1.17,1.2,1.15,1.2,1.17,1.2,1.2,1.18,1.2,1.2,1.2,,1.2,1.16,1.2,1.2,1.23,1.31,1.23,
Switzerland,e,1.62,1.8,,1.62,1.62,1.5,1.73,1.57,1.62,1.7,1.67,1.57,1.57,1.62,,1.6,1.65,1.7,1.63,1.61,1.67,1.62,
Ecuador,e,1.91,1.83,,1.83,2.0,1.85,2.0,2.0,1.91,1.75,2.1,2.0,1.91,1.9,,2.0,1.9,1.75,2.0,,1.9,1.59,
Honduras,e,8.5,5.0,,7.0,6.5,8.0,5.5,7.0,6.5,5.0,5.5,6.5,8.0,7.0,,6.0,8.0,5.0,7.0,3.65,4.8,3.67,
Argentina,f,1.04,1.04,,1.05,1.03,1.01,1.05,1.04,1.02,1.02,1.02,1.05,1.07,1.03,,1.04,1.01,1.02,1.02,1.04,1.1,1.05,
Bosnia-Herzegovina,f,1.83,2.1,,1.73,1.8,1.6,1.73,1.91,1.83,1.85,1.95,1.73,1.67,1.75,,1.8,1.85,1.85,2.0,,1.69,1.55,
Nigeria,f,2.38,2.2,,2.25,2.25,2.15,2.25,2.3,2.25,1.95,2.4,2.3,2.25,2.25,,2.2,2.35,1.95,2.4,2.21,2.25,2.21,
Iran,f,6.0,5.0,,5.5,7.5,8.5,7.0,6.0,6.5,8.0,5.0,6.5,7.0,7.5,,5.5,6.0,8.0,5.0,5.1,7.65,5.17,
Germany,g,1.17,1.12,,1.14,1.14,1.12,1.08,1.12,1.13,1.08,1.11,1.12,1.14,1.11,,1.12,1.08,1.08,1.17,1.05,1.11,1.05,
Portugal,g,1.5,1.57,,1.4,1.44,1.3,1.44,1.5,1.5,1.54,1.44,1.5,1.36,1.4,,1.5,1.5,1.54,1.5,,1.48,1.32,
Ghana,g,3.5,4.0,,3.5,4.0,3.6,3.5,3.75,3.75,3.0,4.2,3.5,3.75,3.75,,3.5,3.75,3.0,3.5,,3.76,3.52,
USA,g,3.5,3.0,,3.5,3.4,3.75,4.5,3.6,3.5,4.0,3.75,3.5,4.0,4.0,,3.5,3.85,4.0,3.5,2.92,2.99,2.92,
Belgium,h,1.14,1.2,,1.13,1.17,1.09,1.1,1.2,1.14,1.18,1.11,1.17,1.17,1.16,,1.15,1.1,1.18,1.11,1.15,1.21,1.16,
Russia,h,1.36,1.5,,1.29,1.4,1.25,1.33,1.4,1.4,1.45,1.5,1.4,1.4,1.4,,1.4,1.35,1.45,1.53,,1.39,1.31,
South Korea,h,2.88,2.88,,2.62,2.88,3.5,3.0,2.75,2.88,2.3,2.9,2.75,2.88,2.75,,2.75,2.8,2.3,2.88,,2.6,2.54,
Algeria,h,7.5,4.0,,8.5,5.0,10.0,8.0,5.5,6.0,5.0,5.0,5.5,5.0,6.5,,5.5,9.0,5.0,5.0,3.8,4.04,3.81,
