name,group,max,min,mean,median,twentyfive,seventyfive
Brazil,a,1.05,1.01,1.028888888888889,1.03,1.02,1.03
Mexico,a,2.2,1.83,2.0433333333333334,2.04,2.0,2.1000000000000001
Croatia,a,2.3,1.83,2.0800000000000001,2.1000000000000001,2.0,2.1699999999999999
Cameroon,a,7.0,4.33,5.4816666666666665,5.5,5.0,6.0
Spain,b,1.22,1.08,1.1463157894736842,1.1399999999999999,1.1200000000000001,1.1699999999999999
Netherlands,b,1.62,1.33,1.5225,1.5249999999999999,1.5,1.5575000000000001
Chile,b,2.3,1.76,2.0255000000000001,2.0,1.96,2.1000000000000001
Australia,b,21.0,6.5,9.8595000000000006,9.0,8.1349999999999998,10.0
Colombia,c,1.3,1.2,1.25,1.25,1.23,1.27
Ivory Coast,c,2.0,1.76,1.9094736842105264,1.9099999999999999,1.9049999999999998,1.95
Japan,c,2.25,1.88,2.0747368421052634,2.1000000000000001,2.0,2.1749999999999998
Greece,c,3.4,1.95,3.0110000000000001,3.0,2.75,3.25
Italy,d,1.5,1.35,1.407,1.3999999999999999,1.3600000000000001,1.4399999999999999
Uruguay,d,1.53,1.36,1.46,1.4750000000000001,1.4175,1.5
England,d,1.79,1.53,1.6460000000000001,1.6200000000000001,1.6150000000000002,1.6699999999999999
Costa Rica,d,13.0,5.0,8.7055000000000007,8.9900000000000002,6.9074999999999998,11.0
France,e,1.25,1.15,1.1884210526315788,1.2,1.165,1.2
Switzerland,e,1.73,1.48,1.6242105263157895,1.6200000000000001,1.585,1.6699999999999999
Ecuador,e,2.05,1.67,1.9015,1.9099999999999999,1.8225,2.0
Honduras,e,8.0,5.0,6.3433333333333337,6.5,5.5,7.0
Argentina,f,1.05,1.01,1.0311111111111113,1.03,1.02,1.04
Bosnia-Herzegovina,f,2.1,1.6,1.8142105263157895,1.8300000000000001,1.73,1.8500000000000001
Nigeria,f,2.4,1.95,2.2436842105263159,2.25,2.2000000000000002,2.3250000000000002
Iran,f,8.5,4.78,6.2626315789473681,6.0,5.3550000000000004,7.25
Germany,g,1.17,1.04,1.1105263157894738,1.1200000000000001,1.0900000000000001,1.125
Portugal,g,1.57,1.3,1.4726315789473685,1.5,1.4399999999999999,1.5
Ghana,g,4.2,3.0,3.5945,3.5,3.4925000000000002,3.75
USA,g,4.5,2.33,3.5752631578947374,3.5,3.5,3.9249999999999998
Belgium,h,1.2,1.1,1.1477777777777778,1.145,1.1299999999999999,1.1699999999999999
Russia,h,1.53,1.28,1.3994736842105262,1.3999999999999999,1.3600000000000001,1.4249999999999998
South Korea,h,3.0,2.3,2.7599999999999998,2.7999999999999998,2.6850000000000001,2.8799999999999999
Algeria,h,9.0,4.0,6.1388888888888893,5.5,5.0,7.25
